symbol,open,close,high,low,volume,quote_volume,taker_buy_base_volume,taker_buy_quote_volume,trades,open_time
TRXUSDT,0.27996,0.27989,0.27998,0.27981,,148989.87401,350191.0,98021.65733,617,1771188360000
IOSTUSDT,0.001261,0.001261,0.001261,0.001261,,110.245447,69485.0,87.620585,6,1771188360000
CRVUSDT,0.248,0.248,0.249,0.248,,513.725,389.8,97.0602,14,1771188360000
XTZUSDT,0.398,0.397,0.398,0.397,,34.7247,66.6,26.5068,3,1771188360000
ATOMUSDT,2.116,2.117,2.118,2.116,,14679.56881,6097.6,12908.3375,112,1771188360000
RLCUSDT,0.4475,0.4473,0.4479,0.4473,,1045.21211,964.5,431.87077,13,1771188360000
THETAUSDT,0.2072,0.207,0.2072,0.207,,183.04098,138.9,28.77769,9,1771188360000
ALGOUSDT,0.0951,0.095,0.0951,0.095,,1333.54168,0.0,0.0,23,1771188360000
DOGEUSDT,0.10286,0.10294,0.10295,0.10281,,206930.29675,1657661.0,170532.11656,647,1771188360000
TRBUSDT,15.453,15.453,15.453,15.45,,662.9142,15.0,231.7813,30,1771188360000
SNXUSDT,0.287,0.287,0.288,0.287,,230.4325,402.0,115.776,12,1771188360000
BCHUSDT,553.58,554.04,554.18,553.58,,80267.72727,130.546,72319.25654,367,1771188360000
KNCUSDT,0.1411,0.1412,0.1412,0.1411,,329.6983,2298.0,324.4776,11,1771188360000
YFIUSDT,2835.0,2837.0,2839.0,2835.0,,7870.2,2.715,7702.863,110,1771188360000
ZRXUSDT,0.1081,0.108,0.1081,0.108,,387.07451,438.7,47.42347,7,1771188360000
ETHUSDT,1952.63,1952.7,1952.71,1951.81,,1697726.78313,429.013,837495.89544,2330,1771188360000
BATUSDT,0.1287,0.1287,0.1287,0.1287,,0.0,0.0,0.0,0,1771188360000
SUSHIUSDT,0.2068,0.2067,0.2068,0.2067,,466.3179,27.0,5.5836,14,1771188360000
ADAUSDT,0.2794,0.2793,0.2794,0.2793,,10372.7675,29171.0,8150.3774,130,1771188360000
ZILUSDT,0.00428,0.00428,0.00429,0.00428,,1352.21836,172428.0,739.71612,24,1771188360000
ONTUSDT,0.0458,0.0458,0.0459,0.0458,,131.82249,1978.7,90.82233,4,1771188360000
ETCUSDT,8.672,8.673,8.673,8.669,,2662.0555,135.23,1172.58389,55,1771188360000
QTUMUSDT,0.978,0.978,0.978,0.978,,0.0,0.0,0.0,0,1771188360000
XMRUSDT,333.96,334.09,334.19,333.9,,5843.13206,13.82,4617.14044,153,1771188360000
RUNEUSDT,0.4031,0.4032,0.4032,0.4031,,127.8037,210.0,84.672,12,1771188360000
ZECUSDT,293.2,293.63,293.65,293.2,,105459.49142,261.226,76650.90149,810,1771188360000
BNBUSDT,613.69,613.78,613.84,613.69,,66320.3117,42.3,25962.5471,356,1771188360000
COMPUSDT,20.81,20.79,20.81,20.78,,20165.09239,229.747,4775.52178,142,1771188360000
LTCUSDT,54.51,54.53,54.53,54.51,,8062.29276,81.039,4418.34404,86,1771188360000
VETUSDT,0.008277,0.008275,0.008277,0.008273,,1024.012557,45958.0,380.247233,35,1771188360000
LINKUSDT,8.672,8.675,8.675,8.668,,32374.7966,1792.44,15543.83329,182,1771188360000
DASHUSDT,37.3,37.37,37.37,37.29,,54986.62322,1218.988,45509.86783,401,1771188360000
KAVAUSDT,0.054,0.0539,0.054,0.0539,,311.13218,5603.8,302.6052,7,1771188360000
DOTUSDT,1.348,1.347,1.348,1.347,,5553.5884,818.4,1103.2032,59,1771188360000
NEOUSDT,2.812,2.809,2.812,2.809,,2993.95596,47.36,133.16398,45,1771188360000
IOTAUSDT,0.0685,0.0685,0.0685,0.0685,,5.206,76.0,5.206,1,1771188360000
BANDUSDT,0.2443,0.2443,0.2444,0.2442,,252.27669,565.9,138.26417,13,1771188360000
BTCUSDT,68451.4,68461.2,68461.4,68451.4,,643488.4057,6.746,461794.7675,548,1771188360000
XRPUSDT,1.4618,1.4637,1.4638,1.4615,,630985.81279,336708.9,492470.25902,1127,1771188360000
XLMUSDT,0.16829,0.16841,0.16841,0.16827,,7272.38948,30202.0,5083.46591,134,1771188360000
EGLDUSDT,4.895,4.892,4.896,4.892,,640.6523,37.0,181.1303,27,1771188360000
SOLUSDT,85.77,85.78,85.78,85.74,,477168.3996,2186.07,187495.7418,717,1771188360000
ICXUSDT,0.0399,0.0399,0.0399,0.0399,,65.037,1630.0,65.037,2,1771188360000
UNIUSDT,3.442,3.442,3.443,3.441,,6979.5,1082.0,3724.303,81,1771188360000
STORJUSDT,0.1002,0.1002,0.1002,0.1001,,201.3758,1748.0,175.1496,8,1771188360000
