symbol,open,close,high,low,volume,quote_volume,taker_buy_base_volume,taker_buy_quote_volume,trades,open_time
TRXUSDT,0.28007,0.28007,0.28008,0.28007,,2106.74064,5410.0,1515.2328,34,1771185420000
IOSTUSDT,0.001259,0.001259,0.00126,0.001259,,585.491055,314778.0,396.566774,12,1771185420000
CRVUSDT,0.248,0.249,0.249,0.248,,224.0823,535.1,133.2399,8,1771185420000
XTZUSDT,0.394,0.394,0.395,0.394,,977.4456,49.8,19.671,15,1771185420000
ATOMUSDT,2.122,2.122,2.123,2.122,,6008.14729,1713.78,3638.14915,61,1771185420000
RLCUSDT,0.443,0.4431,0.4431,0.4428,,362.48319,761.4,337.33054,20,1771185420000
THETAUSDT,0.2057,0.2057,0.2057,0.2057,,98.07776,476.8,98.07776,3,1771185420000
ALGOUSDT,0.0947,0.0947,0.0947,0.0946,,239.44604,2121.0,200.8587,11,1771185420000
DOGEUSDT,0.10286,0.1028,0.10292,0.10279,,319311.60739,605556.0,62271.16021,776,1771185420000
TRBUSDT,15.381,15.384,15.39,15.381,,1976.9658,78.2,1203.1143,82,1771185420000
SNXUSDT,0.285,0.285,0.286,0.285,,1014.5149,342.4,97.9264,10,1771185420000
BCHUSDT,552.52,552.45,552.52,552.39,,2257.90616,0.686,378.96676,64,1771185420000
KNCUSDT,0.1404,0.1403,0.1404,0.1403,,21.7532,67.0,9.4068,2,1771185420000
YFIUSDT,2849.0,2847.0,2849.0,2847.0,,484.108,0.066,187.92,14,1771185420000
ZRXUSDT,0.1076,0.1076,0.1076,0.1075,,176.34218,99.3,10.68468,39,1771185420000
ETHUSDT,1944.54,1943.62,1944.66,1943.5,,2342186.19103,376.378,731734.61928,2565,1771185420000
BATUSDT,0.1285,0.1286,0.1286,0.1285,,1802.55935,14018.1,1802.55935,15,1771185420000
SUSHIUSDT,0.2054,0.2054,0.2054,0.2054,,409.9784,0.0,0.0,9,1771185420000
ADAUSDT,0.279,0.279,0.2792,0.279,,52445.3695,108360.0,30246.9443,170,1771185420000
ZILUSDT,0.00427,0.00426,0.00428,0.00426,,7358.42365,236750.0,1011.14899,57,1771185420000
ONTUSDT,0.0455,0.0456,0.0456,0.0455,,283.55508,2584.3,117.84408,4,1771185420000
ETCUSDT,8.642,8.641,8.643,8.641,,2858.71818,160.77,1389.34882,28,1771185420000
QTUMUSDT,0.975,0.975,0.975,0.975,,100.23,102.8,100.23,4,1771185420000
XMRUSDT,336.1,334.97,336.62,332.93,,388423.81617,519.241,173702.54824,2801,1771185420000
RUNEUSDT,0.402,0.4018,0.402,0.4018,,871.7446,340.0,136.6742,25,1771185420000
ZECUSDT,295.21,295.07,295.54,295.02,,104495.66343,184.318,54427.97966,963,1771185420000
BNBUSDT,612.26,612.23,612.34,612.21,,44899.4655,32.66,19997.4945,231,1771185420000
COMPUSDT,20.96,20.97,20.98,20.94,,21281.45103,709.137,14869.02734,164,1771185420000
LTCUSDT,54.49,54.51,54.53,54.49,,39291.46671,518.136,28244.70011,126,1771185420000
VETUSDT,0.008245,0.008248,0.008248,0.008239,,5786.088105,153777.0,1267.968905,99,1771185420000
LINKUSDT,8.643,8.641,8.645,8.641,,48806.47849,348.99,3016.72724,130,1771185420000
DASHUSDT,37.01,36.99,37.02,36.99,,11220.88831,71.36,2641.17799,107,1771185420000
KAVAUSDT,0.0538,0.0538,0.0539,0.0538,,896.97841,1862.1,100.36719,13,1771185420000
DOTUSDT,1.34,1.34,1.34,1.339,,7030.816,2940.6,3940.404,48,1771185420000
