ticker,volume,time,buy\short_price,min_price,min_price_time,max_price,max_price_time,RPS_(30%)_SL_1%,RPS_(30%)_SL_2%,RPS_(30%)_SL_3%,RPS_(30%)_SL_4%,RPS_(30%)_SL_5%,max_loss_%,RPB_(30%)_SL_1%,RPB_(30%)_SL_2%,RPB_(30%)_SL_3%,RPB_(30%)_SL_4%,RPB_(30%)_SL_5%,max_proffit_%
XNYUSDT,5.64,2026-01-20 02:12:14,0.003118,0.003118,,0.003118,,,,,,,,,,,,,
DOODUSDT,8.79,2026-01-20 02:38:15,0.00544,0.00544,,0.00544,,,,,,,,,,,,,
MUSDT,5.62,2026-01-20 02:49:15,1.62,1.62,,1.62,,,,,,,,,,,,,
POLYXUSDT,14.71,2026-01-20 03:07:15,0.06005,0.06005,,0.06005,,,,,,,,,,,,,
AERGOUSDT,8.52,2026-01-20 03:12:15,0.05953,0.05953,,0.05953,,,,,,,,,,,,,
MAVUSDT,5.28,2026-01-20 03:22:15,0.02872,0.02872,,0.02872,,,,,,,,,,,,,
GUAUSDT,5.24,2026-01-20 03:28:16,0.13896,0.13896,,0.13896,,,,,,,,,,,,,
JOEUSDT,12.12,2026-01-20 04:01:16,0.06244,0.06244,,0.06244,,,,,,,,,,,,,
PHBUSDT,5.21,2026-01-20 04:37:15,0.3066,0.3066,,0.3066,,,,,,,,,,,,,
DEGOUSDT,5.73,2026-01-20 04:40:15,0.4745,0.4745,,0.4745,,,,,,,,,,,,,
ONTUSDT,7.83,2026-01-20 04:44:15,0.0639,0.0639,,0.0639,,,,,,,,,,,,,
PENDLEUSDT,5.02,2026-01-20 04:49:15,2.0372,2.0372,,2.0372,,,,,,,,,,,,,
HANAUSDT,7.57,2026-01-20 05:27:15,0.01003,0.01003,,0.01003,,,,,,,,,,,,,
ENJUSDT,6.39,2026-01-20 05:46:15,0.03197,0.03197,,0.03197,,,,,,,,,,,,,
SPKUSDT,9.12,2026-01-20 06:01:15,0.02247,0.02247,,0.02247,,,,,,,,,,,,,
AWEUSDT,6.59,2026-01-20 06:23:15,0.05375,0.05375,,0.05375,,,,,,,,,,,,,
XPINUSDT,5.85,2026-01-20 06:29:14,0.002399,0.002399,,0.002399,,,,,,,,,,,,,
CHRUSDT,5.12,2026-01-20 06:55:15,0.0467,0.0467,,0.0467,,,,,,,,,,,,,
MEMEUSDT,5.41,2026-01-20 07:20:15,0.001118,0.001118,,0.001118,,,,,,,,,,,,,
