ticker,volume,time,buy\short_price,min_price,min_price_time,max_price,max_price_time,RPS_(30%)_SL_1%,RPS_(30%)_SL_2%,RPS_(30%)_SL_3%,RPS_(30%)_SL_4%,RPS_(30%)_SL_5%,max_loss_%,RPB_(30%)_SL_1%,RPB_(30%)_SL_2%,RPB_(30%)_SL_3%,RPB_(30%)_SL_4%,RPB_(30%)_SL_5%,max_proffit_%
EGLDUSDT,8.44,2026-01-18 02:01:16,6.92,6.92,,6.92,,,,,,,,,,,,,
SAFEUSDT,9.74,2026-01-18 02:06:17,0.1955,0.1955,,0.1955,,,,,,,,,,,,,
AUCTIONUSDT,5.31,2026-01-18 02:11:15,5.691,5.691,,5.691,,,,,,,,,,,,,
CARVUSDT,8.78,2026-01-18 02:12:15,0.1146,0.1146,,0.1146,,,,,,,,,,,,,
AGLDUSDT,8.92,2026-01-18 02:16:15,0.3322,0.3322,,0.3322,,,,,,,,,,,,,
AIOUSDT,5.92,2026-01-18 02:16:16,0.1614,0.1614,,0.1614,,,,,,,,,,,,,
XTZUSDT,6.92,2026-01-18 02:35:15,0.626,0.626,,0.626,,,,,,,,,,,,,
IPUSDT,7.89,2026-01-18 04:05:15,2.674,2.674,,2.674,,,,,,,,,,,,,
ORCAUSDT,8.96,2026-01-18 04:40:15,1.195,1.195,,1.195,,,,,,,,,,,,,
OLUSDT,6.23,2026-01-18 04:40:16,0.0232,0.0232,,0.0232,,,,,,,,,,,,,
OPENUSDT,5.15,2026-01-18 04:59:15,0.1819,0.1819,,0.1819,,,,,,,,,,,,,
HFTUSDT,5.46,2026-01-18 06:36:15,0.03443,0.03443,,0.03443,,,,,,,,,,,,,
PIPPINUSDT,5.63,2026-01-18 08:32:15,0.3384,0.3384,,0.3384,,,,,,,,,,,,,
LUMIAUSDT,8.27,2026-01-18 08:52:15,0.1275,0.1275,,0.1275,,,,,,,,,,,,,
HAEDALUSDT,5.27,2026-01-18 11:12:15,0.0495,0.0495,,0.0495,,,,,,,,,,,,,
ZENUSDT,5.14,2026-01-18 11:23:15,12.274,12.274,,12.274,,,,,,,,,,,,,
ACHUSDT,5.47,2026-01-18 12:01:15,0.011814,0.011814,,0.011814,,,,,,,,,,,,,
VANRYUSDT,5.85,2026-01-18 12:06:15,0.011391,0.011391,,0.011391,,,,,,,,,,,,,
BBUSDT,5.0,2026-01-18 12:09:15,0.0664,0.0664,,0.0664,,,,,,,,,,,,,
VANAUSDT,5.82,2026-01-18 12:11:15,2.456,2.456,,2.456,,,,,,,,,,,,,
MEUSDT,7.73,2026-01-18 12:16:15,0.2679,0.2679,,0.2679,,,,,,,,,,,,,
ARCUSDT,5.08,2026-01-18 12:23:15,0.05288,0.05288,,0.05288,,,,,,,,,,,,,
VVVUSDT,7.24,2026-01-18 12:24:16,3.197,3.197,,3.197,,,,,,,,,,,,,
MAGICUSDT,6.78,2026-01-18 12:28:15,0.1079,0.1079,,0.1079,,,,,,,,,,,,,
DUSDT,6.41,2026-01-18 12:32:15,0.01323,0.01323,,0.01323,,,,,,,,,,,,,
RPLUSDT,5.64,2026-01-18 12:46:15,2.367,2.367,,2.367,,,,,,,,,,,,,
PHAUSDT,5.22,2026-01-18 12:47:16,0.04178,0.04178,,0.04178,,,,,,,,,,,,,
GOATUSDT,6.29,2026-01-18 12:58:16,0.03839,0.03839,,0.03839,,,,,,,,,,,,,
BICOUSDT,5.82,2026-01-18 12:58:17,0.04587,0.04587,,0.04587,,,,,,,,,,,,,
MOVEUSDT,5.25,2026-01-18 13:00:16,0.04121,0.04121,,0.04121,,,,,,,,,,,,,
BIOUSDT,6.38,2026-01-18 13:01:15,0.04717,0.04717,,0.04717,,,,,,,,,,,,,
TNSRUSDT,6.2,2026-01-18 13:03:15,0.07443,0.07443,,0.07443,,,,,,,,,,,,,
MBOXUSDT,5.12,2026-01-18 13:05:16,0.03426,0.03426,,0.03426,,,,,,,,,,,,,
TAIKOUSDT,5.58,2026-01-18 13:13:16,0.1885,0.1885,,0.1885,,,,,,,,,,,,,
MOCAUSDT,5.85,2026-01-18 13:14:16,0.02638,0.02638,,0.02638,,,,,,,,,,,,,
API3USDT,6.45,2026-01-18 13:20:15,0.4516,0.4516,,0.4516,,,,,,,,,,,,,
ZKCUSDT,5.55,2026-01-18 13:23:16,0.12,0.12,,0.12,,,,,,,,,,,,,
BSVUSDT,5.67,2026-01-18 13:30:15,19.79,19.79,,19.79,,,,,,,,,,,,,
DUSKUSDT,5.23,2026-01-18 13:31:15,0.15606,0.15606,,0.15606,,,,,,,,,,,,,
NEWTUSDT,5.66,2026-01-18 13:38:16,0.1103,0.1103,,0.1103,,,,,,,,,,,,,
BANANAS31USDT,6.04,2026-01-18 13:42:15,0.003902,0.003902,,0.003902,,,,,,,,,,,,,
WLFIUSDT,5.59,2026-01-18 13:52:15,0.172,0.172,,0.172,,,,,,,,,,,,,
SHELLUSDT,5.68,2026-01-18 13:54:17,0.05208,0.05208,,0.05208,,,,,,,,,,,,,
INITUSDT,5.61,2026-01-18 14:01:18,0.095,0.095,,0.095,,,,,,,,,,,,,
