symbol,open,close,high,low,quote_volume,taker_buy_base_volume,taker_buy_quote_volume,trades,open_time
ARPAUSDT,0.01145,0.01142,0.01145,0.01142,2934.71604,36329.0,415.51226,65,1770006000000
STORJUSDT,0.1064,0.1061,0.1064,0.106,1962.6549,3752.0,398.5079,58,1770006000000
XTZUSDT,0.461,0.459,0.462,0.459,20407.8219,16013.9,7369.7547,105,1770006000000
AVAXUSDT,9.843,9.795,9.843,9.794,158210.276,7126.0,69933.546,696,1770006000000
XRPUSDT,1.578,1.5735,1.5783,1.5734,1031579.17969,310675.2,489323.01855,2876,1770006000000
PEOPLEUSDT,0.00748,0.00745,0.00748,0.00745,2416.06901,10930.0,81.57959,62,1770006000000
CHZUSDT,0.04558,0.0454,0.04558,0.0454,23131.73691,156512.0,7117.14362,288,1770006000000
QTUMUSDT,1.056,1.053,1.056,1.053,2024.3864,258.5,272.427,34,1770006000000
ATOMUSDT,1.927,1.916,1.927,1.916,39936.22997,5807.0,11165.07314,191,1770006000000
OGNUSDT,0.0237,0.0236,0.0237,0.0235,2382.771,13349.0,315.082,31,1770006000000
BANDUSDT,0.2469,0.2459,0.2469,0.2459,1160.34777,1587.9,390.8628,50,1770006000000
CHRUSDT,0.0296,0.0294,0.0296,0.0294,4168.5793,32602.0,961.8023,28,1770006000000
UNIUSDT,3.822,3.807,3.822,3.806,157312.173,14208.0,54212.071,552,1770006000000
KSMUSDT,5.365,5.343,5.368,5.343,1068.0881,15.8,84.5746,32,1770006000000
NEOUSDT,3.12,3.102,3.12,3.102,5227.32716,303.32,944.20368,142,1770006000000
BNBUSDT,749.58,748.72,749.67,748.57,521806.4333,377.96,283114.9435,1817,1770006000000
ENSUSDT,6.794,6.763,6.794,6.763,7426.9822,378.0,2561.5099,141,1770006000000
BCHUSDT,510.45,508.92,510.49,508.9,108370.36176,110.584,56353.02742,688,1770006000000
KAVAUSDT,0.0623,0.0621,0.0623,0.0621,3454.91042,28331.4,1762.17259,45,1770006000000
XLMUSDT,0.17284,0.1721,0.17285,0.1721,95756.60928,298582.0,51507.50781,551,1770006000000
AAVEUSDT,124.9,124.38,124.9,124.38,87737.264,299.3,37298.35,553,1770006000000
MTLUSDT,0.3021,0.3013,0.3021,0.301,743.6658,1771.0,533.5964,51,1770006000000
XMRUSDT,400.63,398.3,400.84,398.21,139851.35415,89.642,35804.26804,1178,1770006000000
ETCUSDT,9.517,9.481,9.517,9.481,57055.86082,2528.01,24013.12573,320,1770006000000
ZRXUSDT,0.1066,0.1062,0.1066,0.1062,1978.66065,3686.4,391.9438,46,1770006000000
ONTUSDT,0.0502,0.0501,0.0502,0.05,4224.33715,23262.9,1165.54864,49,1770006000000
TRXUSDT,0.28218,0.28195,0.28222,0.28195,34556.82974,25495.0,7194.03385,288,1770006000000
