symbol,open,close,high,low,quote_volume,taker_buy_base_volume,taker_buy_quote_volume,trades,open_time
1INCHUSDT,0.1143,0.1143,0.1144,0.1141,11072.793,62264.0,7113.0169,86,1770007260000
MTLUSDT,0.3039,0.3038,0.3039,0.3037,185.0069,160.0,48.6063,14,1770007260000
NKNUSDT,0.01008,0.01007,0.01009,0.01007,597.52615,13911.0,140.22998,21,1770007260000
COMPUSDT,19.65,19.61,19.65,19.59,9176.65042,101.277,1984.63285,82,1770007260000
LPTUSDT,2.583,2.58,2.583,2.578,3703.6847,228.7,590.1602,84,1770007260000
ALGOUSDT,0.1021,0.1019,0.1021,0.1019,20334.48654,42473.0,4330.73754,141,1770007260000
DOGEUSDT,0.10433,0.10425,0.10433,0.1042,1024776.93067,3459194.0,360590.71379,2029,1770007260000
ETCUSDT,9.616,9.607,9.616,9.6,49649.06487,2477.74,23806.2131,280,1770007260000
RLCUSDT,0.5017,0.5012,0.5017,0.5008,1426.68856,1426.2,714.52636,54,1770007260000
UNIUSDT,3.861,3.856,3.861,3.853,58731.583,4740.0,18278.389,288,1770007260000
1000SHIBUSDT,0.006771,0.006757,0.006771,0.006756,40597.755084,1703025.0,11515.140198,353,1770007260000
BATUSDT,0.1261,0.126,0.1261,0.1258,7097.35393,7053.9,888.60788,108,1770007260000
LTCUSDT,58.54,58.47,58.54,58.42,98364.01594,703.448,41142.30309,356,1770007260000
PEOPLEUSDT,0.00757,0.00757,0.00757,0.00756,7128.52662,28655.0,216.7082,30,1770007260000
LINKUSDT,9.429,9.417,9.429,9.409,268432.78641,4812.99,45316.87018,813,1770007260000
ZRXUSDT,0.1075,0.1074,0.1075,0.1074,1953.34525,7223.1,776.21872,54,1770007260000
TRXUSDT,0.28289,0.28287,0.28289,0.28281,18285.69779,11765.0,3327.49251,154,1770007260000
LRCUSDT,0.0406,0.04056,0.0406,0.04054,1683.00456,13943.0,565.69232,51,1770007260000
KAVAUSDT,0.0628,0.0627,0.0628,0.0627,2195.28103,54.6,3.42888,43,1770007260000
GTCUSDT,0.107,0.107,0.108,0.107,1112.5289,349.5,37.746,18,1770007260000
FILUSDT,1.05,1.049,1.05,1.047,95186.4809,57029.5,59818.9859,169,1770007260000
ONTUSDT,0.0505,0.0506,0.0506,0.0505,1993.30241,970.1,49.01706,27,1770007260000
MANAUSDT,0.1126,0.1125,0.1126,0.1124,6812.9692,16663.0,1874.4297,85,1770007260000
NEOUSDT,3.156,3.155,3.158,3.152,14243.338,1791.79,5652.87755,197,1770007260000
CTSIUSDT,0.0278,0.0277,0.0278,0.0277,399.5412,7997.0,222.3166,16,1770007260000
ARPAUSDT,0.01155,0.01157,0.01157,0.01154,2587.81613,81073.0,937.62821,83,1770007260000
GMTUSDT,0.01357,0.01356,0.01357,0.01355,12946.80547,46593.0,631.9101,100,1770007260000
ZILUSDT,0.00406,0.00405,0.00407,0.00405,6659.79934,876304.0,3557.87066,62,1770007260000
DASHUSDT,44.41,44.35,44.41,44.32,41876.91851,410.411,18205.16224,536,1770007260000
CHZUSDT,0.04618,0.04604,0.04618,0.04604,32728.75186,133503.0,6154.93387,363,1770007260000
ENSUSDT,6.879,6.863,6.879,6.86,7945.7807,298.2,2047.2544,150,1770007260000
XMRUSDT,403.5,403.43,403.63,402.85,43361.02128,31.128,12552.75495,500,1770007260000
HBARUSDT,0.08946,0.08936,0.08946,0.08932,46447.75246,277199.0,24769.10853,441,1770007260000
VETUSDT,0.008282,0.008274,0.008282,0.008265,7234.315391,228257.0,1887.947311,187,1770007260000
KSMUSDT,5.409,5.403,5.409,5.401,2337.8419,77.1,416.6847,63,1770007260000
DENTUSDT,0.00016,0.00016,0.00016,0.000159,189.85905,570027.0,91.20432,9,1770007260000
API3USDT,0.3301,0.3295,0.3301,0.3294,7150.65109,9784.3,3224.05426,81,1770007260000
CRVUSDT,0.278,0.279,0.279,0.277,147667.3966,391480.7,109029.1044,358,1770007260000
CHRUSDT,0.0297,0.0297,0.0298,0.0297,181.3205,911.0,27.1478,6,1770007260000
BELUSDT,0.1107,0.1106,0.1107,0.1106,1719.2528,2091.0,231.275,35,1770007260000
1000XECUSDT,0.00882,0.00881,0.00882,0.00881,103.78374,4565.0,40.2633,8,1770007260000
ADAUSDT,0.288,0.2876,0.288,0.2874,157774.6639,226590.0,65183.8549,527,1770007260000
CELOUSDT,0.094,0.094,0.094,0.094,45.2046,480.9,45.2046,4,1770007260000
TRBUSDT,16.17,16.138,16.17,16.119,9126.8633,107.7,1738.2567,450,1770007260000
COTIUSDT,0.01408,0.01408,0.01408,0.01407,1427.29184,50038.0,704.5313,27,1770007260000
ALICEUSDT,0.131,0.131,0.132,0.131,340.6529,1179.5,155.694,18,1770007260000
SKLUSDT,0.00757,0.00756,0.00757,0.00755,1342.4551,88909.0,672.15204,45,1770007260000
ETHUSDT,2257.87,2256.56,2257.87,2253.25,8291873.11577,1272.201,2869110.37418,11050,1770007260000
GRTUSDT,0.02998,0.02993,0.02998,0.02993,3285.12892,30365.0,909.53741,88,1770007260000
QTUMUSDT,1.061,1.059,1.061,1.057,15788.4955,3246.8,3441.2497,114,1770007260000
STORJUSDT,0.1075,0.1074,0.1075,0.1074,4686.3553,25054.0,2692.0236,64,1770007260000
OGNUSDT,0.0237,0.0237,0.0238,0.0236,5379.7056,97040.0,2300.2746,61,1770007260000
ANKRUSDT,0.004991,0.004987,0.004991,0.004983,1123.525527,116463.0,580.912668,68,1770007260000
BCHUSDT,514.45,513.4,514.45,513.15,146256.98757,90.793,46637.99804,679,1770007260000
BANDUSDT,0.247,0.2469,0.247,0.2466,2931.20042,3323.8,820.3081,73,1770007260000
THETAUSDT,0.2147,0.2143,0.2147,0.2142,2961.90262,4652.9,997.28519,89,1770007260000
ZECUSDT,302.2,301.96,302.2,301.4,418365.51093,699.91,211281.31953,2062,1770007260000
XRPUSDT,1.5895,1.5882,1.59,1.5876,1129379.11959,335643.2,533015.2096,2251,1770007260000
ENJUSDT,0.024,0.02397,0.024,0.02396,1411.44617,17962.0,430.66022,35,1770007260000
DOTUSDT,1.508,1.507,1.508,1.505,75591.4684,12403.7,18689.8088,213,1770007260000
IOTAUSDT,0.0713,0.0712,0.0713,0.0712,15516.66233,83859.5,5977.69872,47,1770007260000
IOSTUSDT,0.001365,0.001366,0.001366,0.001365,1526.295471,642445.0,877.419158,26,1770007260000
ROSEUSDT,0.01754,0.01755,0.01755,0.01751,28962.66632,674216.0,11823.17255,278,1770007260000
ATOMUSDT,1.943,1.941,1.943,1.939,32739.71437,1791.71,3478.92895,158,1770007260000
MASKUSDT,0.524,0.523,0.524,0.5229,4922.5208,4732.0,2475.458,104,1770007260000
RVNUSDT,0.00608,0.00608,0.00608,0.00608,10.00768,1646.0,10.00768,1,1770007260000
AAVEUSDT,126.05,125.71,126.05,125.67,75514.27,245.1,30825.696,457,1770007260000
XTZUSDT,0.464,0.464,0.465,0.464,15997.065,11831.2,5489.7386,61,1770007260000
DUSKUSDT,0.10168,0.1016,0.10168,0.10139,17453.85781,41618.0,4225.0593,322,1770007260000
FLOWUSDT,0.05604,0.05591,0.05604,0.05589,5457.028895,64681.4,3620.605157,179,1770007260000
BNBUSDT,757.3,755.94,757.3,755.75,989425.5398,316.84,239618.7401,2194,1770007260000
IMXUSDT,0.181,0.1806,0.181,0.1805,3911.6372,937.0,169.3337,56,1770007260000
C98USDT,0.0192,0.0191,0.0192,0.0191,6379.5655,263898.0,5066.8416,34,1770007260000
IOTXUSDT,0.00635,0.00634,0.00635,0.00634,1104.57054,165297.0,1049.63595,18,1770007260000
XLMUSDT,0.17433,0.17406,0.17433,0.17393,146967.25227,669893.0,116667.17399,450,1770007260000
ONEUSDT,0.00287,0.00287,0.00288,0.00287,940.72027,222944.0,639.884,26,1770007260000
RSRUSDT,0.00182,0.001817,0.00182,0.001817,692.967783,120934.0,219.829895,29,1770007260000
ARUSDT,2.5,2.495,2.5,2.495,4739.0881,476.6,1189.9585,96,1770007260000
APEUSDT,0.1461,0.1459,0.1461,0.1458,7929.4307,18419.0,2688.6468,118,1770007260000
RUNEUSDT,0.4603,0.4598,0.4603,0.4594,3964.078,3252.0,1494.95,150,1770007260000
SFPUSDT,0.2926,0.2918,0.2926,0.2917,1942.1741,1078.0,314.9054,69,1770007260000
SANDUSDT,0.10029,0.1001,0.10029,0.09997,23538.54717,37236.0,3729.18466,450,1770007260000
SNXUSDT,0.339,0.339,0.339,0.339,2607.7236,0.0,0.0,17,1770007260000
NEARUSDT,1.185,1.183,1.185,1.182,20439.218,3798.0,4493.539,163,1770007260000
AXSUSDT,1.749,1.747,1.749,1.743,79236.698,16090.0,28086.169,599,1770007260000
ATAUSDT,0.014,0.0139,0.014,0.0139,148.3418,7238.0,101.332,10,1770007260000
ZENUSDT,7.1,7.097,7.101,7.089,22525.6201,1631.1,11574.7554,336,1770007260000
EGLDUSDT,4.673,4.668,4.673,4.663,3129.8983,190.1,887.2299,105,1770007260000
SUSHIUSDT,0.2369,0.2366,0.2369,0.2364,3592.259,3595.0,850.645,61,1770007260000
CELRUSDT,0.0029,0.0029,0.0029,0.00289,885.33742,18515.0,53.6935,26,1770007260000
DYDXUSDT,0.132,0.132,0.132,0.131,121333.5688,406771.5,53693.838,227,1770007260000
GALAUSDT,0.00476,0.00474,0.00476,0.00474,38042.88938,4005853.0,19027.85511,103,1770007260000
KNCUSDT,0.1717,0.1715,0.1717,0.1714,1123.2616,2944.0,504.8587,37,1770007260000
BTCUSDT,76312.7,76245.9,76312.7,76191.8,15807583.5698,76.622,5841730.8862,8462,1770007260000
HOTUSDT,0.00041,0.000409,0.00041,0.000409,1019.576995,80318.0,32.93038,15,1770007260000
BTCDOMUSDT,5040.1,5041.8,5043.4,5040.1,1038.7197,0.141,710.954,39,1770007260000
ICXUSDT,0.0443,0.0442,0.0443,0.0442,148.4342,311.0,13.7773,11,1770007260000
WOOUSDT,0.01946,0.01944,0.01946,0.01942,567.56868,2160.0,42.012,20,1770007260000
JASMYUSDT,0.005814,0.005805,0.005814,0.005803,8094.783903,626742.0,3639.382657,237,1770007260000
OPUSDT,0.2307,0.2302,0.2307,0.2301,37532.10803,46577.2,10722.11979,273,1770007260000
INJUSDT,3.606,3.601,3.606,3.598,20093.2949,1595.5,5745.6159,214,1770007260000
STGUSDT,0.1534,0.1533,0.1536,0.1531,4968.21,16880.0,2588.8465,111,1770007260000
SPELLUSDT,0.0002092,0.0002094,0.0002094,0.000209,1058.0303851,2030295.0,424.8348322,32,1770007260000
1000LUNCUSDT,0.03813,0.038,0.03813,0.03797,19128.08462,84305.0,3209.01506,247,1770007260000
VANRYUSDT,0.006434,0.006426,0.006434,0.006423,1034.722539,43559.0,279.952364,31,1770007260000
ICPUSDT,2.669,2.66,2.669,2.659,43224.337,2018.0,5376.579,287,1770007260000
