symbol,open,close,high,low,quote_volume,taker_buy_base_volume,taker_buy_quote_volume,trades,open_time
CHZUSDT,0.04578,0.04571,0.04578,0.04568,16067.46772,190496.0,8704.69959,113,1770008280000
ZRXUSDT,0.1065,0.1065,0.1065,0.1065,119.22675,0.0,0.0,11,1770008280000
ATOMUSDT,1.932,1.929,1.932,1.928,6276.58257,1344.34,2594.07886,93,1770008280000
DASHUSDT,43.94,43.84,43.94,43.8,58863.18572,748.305,32797.46101,410,1770008280000
UNIUSDT,3.847,3.843,3.847,3.841,39039.285,5703.0,21919.756,251,1770008280000
QTUMUSDT,1.051,1.05,1.051,1.049,2012.0975,367.1,385.4607,17,1770008280000
STORJUSDT,0.1068,0.1067,0.1068,0.1067,559.2315,0.0,0.0,7,1770008280000
LPTUSDT,2.56,2.557,2.56,2.556,907.1527,152.2,389.3932,43,1770008280000
GTCUSDT,0.106,0.106,0.107,0.106,62.8486,213.2,22.8124,5,1770008280000
IOSTUSDT,0.00136,0.001359,0.00136,0.001359,237.760481,11841.0,16.10376,18,1770008280000
DUSKUSDT,0.1015,0.10149,0.10152,0.10127,17429.467,128553.0,13037.85469,311,1770008280000
AVAXUSDT,9.852,9.835,9.852,9.832,47715.756,1918.0,18867.155,295,1770008280000
LINKUSDT,9.347,9.336,9.348,9.331,129548.29516,11573.18,108073.81616,295,1770008280000
1INCHUSDT,0.1137,0.1135,0.1137,0.1133,18294.6923,38163.0,4331.6225,109,1770008280000
XTZUSDT,0.461,0.46,0.461,0.459,5894.6305,5772.1,2655.1903,22,1770008280000
DOTUSDT,1.496,1.496,1.497,1.494,84531.1137,46552.2,69627.2438,162,1770008280000
BANDUSDT,0.246,0.2458,0.246,0.2455,2606.22579,3958.8,972.57714,59,1770008280000
ENJUSDT,0.02389,0.02384,0.02389,0.02384,647.36762,17706.0,422.2881,20,1770008280000
RLCUSDT,0.4978,0.4972,0.4978,0.497,209.11157,290.1,144.22087,14,1770008280000
IOTAUSDT,0.0706,0.0706,0.0706,0.0706,52.01808,0.0,0.0,3,1770008280000
ONTUSDT,0.0502,0.0502,0.0502,0.0502,7240.60202,113860.9,5715.81718,56,1770008280000
BTCDOMUSDT,5042.3,5045.3,5045.7,5042.3,2113.8195,0.363,1831.3807,50,1770008280000
MANAUSDT,0.1116,0.1116,0.1116,0.1115,1421.5686,135.0,15.066,26,1770008280000
COTIUSDT,0.01393,0.01393,0.01393,0.01391,511.93594,6588.0,91.71714,16,1770008280000
C98USDT,0.0189,0.0188,0.0189,0.0188,1246.2023,57407.0,1084.9923,16,1770008280000
ETCUSDT,9.538,9.53,9.538,9.526,21762.15153,1610.39,15352.36572,137,1770008280000
FLOWUSDT,0.05587,0.05581,0.05587,0.05579,2372.636963,4968.7,277.518732,87,1770008280000
ROSEUSDT,0.01745,0.01742,0.01745,0.01741,6537.69323,200158.0,3487.7902,103,1770008280000
XRPUSDT,1.5784,1.5769,1.5784,1.5763,429040.44117,160851.4,253613.24356,1140,1770008280000
MASKUSDT,0.5205,0.5199,0.5205,0.5199,1716.3786,469.0,243.8484,33,1770008280000
TRBUSDT,16.034,16.009,16.034,16.006,3300.0787,42.3,677.2995,294,1770008280000
XMRUSDT,401.49,401.17,401.51,401.01,14288.97502,22.265,8932.9763,361,1770008280000
KAVAUSDT,0.0622,0.0623,0.0623,0.0622,15.51716,169.2,10.54116,2,1770008280000
FILUSDT,1.042,1.042,1.042,1.041,104673.2633,24525.9,25554.9903,136,1770008280000
ALICEUSDT,0.13,0.131,0.131,0.13,587.736,474.0,62.094,8,1770008280000
VETUSDT,0.008232,0.008217,0.008232,0.008216,2031.140318,97378.0,800.376305,96,1770008280000
RVNUSDT,0.00604,0.00604,0.00604,0.00604,3005.31072,224142.0,1353.81768,12,1770008280000
ONEUSDT,0.00285,0.00285,0.00285,0.00284,2187.13035,35011.0,99.78135,11,1770008280000
GRTUSDT,0.0297,0.02965,0.0297,0.02964,2279.53582,17820.0,528.4714,59,1770008280000
ICXUSDT,0.044,0.044,0.044,0.044,0.0,0.0,0.0,0,1770008280000
RUNEUSDT,0.4576,0.4571,0.4576,0.4569,3526.5406,2987.0,1365.6829,67,1770008280000
NEARUSDT,1.174,1.172,1.175,1.172,14069.695,1591.0,1866.374,109,1770008280000
GALAUSDT,0.0047,0.0047,0.0047,0.00469,6266.44918,12105.0,56.8935,36,1770008280000
IMXUSDT,0.1791,0.1789,0.1791,0.1788,314.7785,594.0,106.2666,29,1770008280000
SUSHIUSDT,0.2349,0.2348,0.2349,0.2346,1779.7634,1884.0,442.2556,28,1770008280000
