symbol,open,close,high,low,quote_volume,taker_buy_base_volume,taker_buy_quote_volume,trades,open_time
XTZUSDT,0.456,0.455,0.456,0.455,14298.3755,9484.2,4315.4025,57,1770009300000
BNBUSDT,746.94,744.57,747.07,744.49,1143567.8824,352.46,262772.6329,3015,1770009300000
DASHUSDT,43.32,43.26,43.35,43.25,56708.40175,674.395,29214.66432,580,1770009300000
DOGEUSDT,0.10196,0.10177,0.10202,0.10173,1128801.40219,5728588.0,583523.33067,3240,1770009300000
CTSIUSDT,0.0272,0.0272,0.0272,0.0272,114.6208,0.0,0.0,6,1770009300000
IOSTUSDT,0.001348,0.001347,0.001349,0.001347,1241.526706,201826.0,272.177283,47,1770009300000
ETCUSDT,9.419,9.404,9.425,9.403,47348.4678,2760.57,25977.88871,322,1770009300000
ALGOUSDT,0.1006,0.1005,0.1006,0.1004,33487.41592,146705.5,14750.53158,124,1770009300000
ZRXUSDT,0.1054,0.1053,0.1054,0.1052,3981.0399,22394.5,2358.38185,51,1770009300000
DOTUSDT,1.479,1.477,1.48,1.476,108265.3584,33057.7,48853.8202,307,1770009300000
1INCHUSDT,0.1131,0.1128,0.1132,0.1128,12980.9939,25299.0,2859.3295,118,1770009300000
NKNUSDT,0.0099,0.00988,0.0099,0.00988,1099.15932,84806.0,838.55045,22,1770009300000
AVAXUSDT,9.727,9.709,9.734,9.703,245058.583,6499.0,63171.196,1143,1770009300000
LTCUSDT,57.38,57.27,57.42,57.27,178718.56096,1324.325,75944.11411,654,1770009300000
RSRUSDT,0.001783,0.00178,0.001783,0.001779,2082.170751,714300.0,1272.394263,48,1770009300000
CHRUSDT,0.0292,0.0292,0.0292,0.0291,55.9311,1173.0,34.2516,4,1770009300000
LINKUSDT,9.238,9.219,9.246,9.218,294693.58534,12092.38,111615.29932,1129,1770009300000
COMPUSDT,19.22,19.18,19.22,19.18,11447.78293,309.202,5935.57543,89,1770009300000
THETAUSDT,0.2102,0.2095,0.2102,0.2095,12807.07841,22935.0,4816.32228,188,1770009300000
SNXUSDT,0.333,0.333,0.334,0.332,22723.863,32284.0,10750.9473,142,1770009300000
AAVEUSDT,123.62,123.31,123.7,123.31,103614.125,263.2,32508.674,910,1770009300000
FILUSDT,1.029,1.027,1.03,1.026,72661.2125,19516.8,20067.822,318,1770009300000
MASKUSDT,0.5163,0.5148,0.5166,0.5148,15970.9915,15330.0,7902.4966,191,1770009300000
GALAUSDT,0.00465,0.00464,0.00466,0.00464,45494.4786,4129037.0,19190.62709,135,1770009300000
BTCDOMUSDT,5066.6,5071.9,5073.2,5064.6,8878.7869,1.125,5702.1368,86,1770009300000
IMXUSDT,0.1774,0.1771,0.1776,0.177,4856.0998,7565.0,1341.1433,96,1770009300000
API3USDT,0.3259,0.3254,0.3262,0.3254,3396.58896,2571.1,837.76279,88,1770009300000
CELRUSDT,0.00283,0.00284,0.00284,0.00283,174.4614,43621.0,123.88364,8,1770009300000
IOTAUSDT,0.0701,0.07,0.0701,0.07,10438.39585,78624.3,5509.22664,69,1770009300000
XRPUSDT,1.5598,1.5572,1.5625,1.5571,3241811.17726,1378459.9,2151349.41968,4394,1770009300000
YFIUSDT,2765.0,2760.0,2765.0,2760.0,1699.041,0.231,638.378,60,1770009300000
ALICEUSDT,0.129,0.129,0.129,0.128,426.1888,3110.4,401.2416,13,1770009300000
NEARUSDT,1.16,1.158,1.161,1.157,45372.557,18166.0,21065.332,223,1770009300000
SUSHIUSDT,0.2323,0.2318,0.2324,0.2318,5957.8433,8629.0,2003.0255,102,1770009300000
ONEUSDT,0.00283,0.00282,0.00283,0.00282,3522.7255,379053.0,1069.63288,27,1770009300000
CELOUSDT,0.091,0.092,0.092,0.091,7797.7541,109.7,10.0924,9,1770009300000
COTIUSDT,0.01387,0.01381,0.01388,0.01381,10142.08325,74273.0,1028.5955,117,1770009300000
ZENUSDT,6.959,6.948,6.97,6.948,30113.6971,3048.7,21225.9197,479,1770009300000
FLOWUSDT,0.05546,0.05533,0.05547,0.05532,4540.064714,13843.5,766.501026,104,1770009300000
XMRUSDT,397.21,396.03,397.41,396.01,34214.53722,27.005,10716.36731,834,1770009300000
EGLDUSDT,4.583,4.577,4.585,4.576,5288.2678,423.4,1939.4341,112,1770009300000
ARUSDT,2.452,2.445,2.453,2.445,10644.8687,1047.3,2565.3801,179,1770009300000
ICXUSDT,0.0437,0.0436,0.0437,0.0435,1193.8227,12361.0,539.153,14,1770009300000
BTCUSDT,75483.6,75323.9,75505.5,75302.0,33349362.0268,188.222,14185137.2736,13487,1770009300000
DENTUSDT,0.000157,0.000157,0.000157,0.000157,24.348188,155084.0,24.348188,2,1770009300000
KNCUSDT,0.1692,0.1688,0.1692,0.1688,603.9769,761.0,128.6248,25,1770009300000
DYDXUSDT,0.13,0.13,0.13,0.129,369.9382,1411.0,183.43,12,1770009300000
TRBUSDT,15.861,15.842,15.876,15.842,11848.1682,371.4,5892.0135,631,1770009300000
XLMUSDT,0.17123,0.17107,0.17141,0.17105,96436.39852,184500.0,31600.87275,929,1770009300000
HOTUSDT,0.000402,0.000402,0.000402,0.000402,6.491496,0.0,0.0,1,1770009300000
SOLUSDT,99.57,99.29,99.67,99.29,4164989.7903,20587.43,2048145.2639,4680,1770009300000
GRTUSDT,0.0294,0.02935,0.02943,0.02935,9709.4696,159859.0,4700.28921,144,1770009300000
ETHUSDT,2217.37,2207.64,2218.7,2207.04,40055868.85171,5930.487,13118714.80976,30517,1770009300000
NEOUSDT,3.125,3.115,3.127,3.115,6319.45695,798.59,2493.49609,196,1770009300000
MTLUSDT,0.2998,0.2992,0.2998,0.2992,450.6048,136.0,40.6912,22,1770009300000
CHZUSDT,0.04528,0.04524,0.04532,0.04522,18572.71942,100083.0,4530.03914,206,1770009300000
LPTUSDT,2.535,2.531,2.536,2.531,6310.0878,293.9,744.6409,124,1770009300000
RVNUSDT,0.00599,0.00598,0.00599,0.00598,2316.79775,287054.0,1719.16361,37,1770009300000
ONTUSDT,0.0497,0.0495,0.0497,0.0495,6925.52497,25637.4,1273.43861,133,1770009300000
BCHUSDT,506.01,505.21,506.34,505.06,149259.19916,77.834,39352.15184,1215,1770009300000
ENJUSDT,0.02355,0.02352,0.02357,0.02352,1982.8037,26689.0,628.59107,62,1770009300000
BANDUSDT,0.2439,0.2436,0.2442,0.2435,3028.8633,4001.7,976.07296,106,1770009300000
OGNUSDT,0.0231,0.0232,0.0232,0.0231,54.9768,1374.0,31.8768,5,1770009300000
IOTXUSDT,0.00624,0.00623,0.00624,0.00623,306.88101,3434.0,21.42816,5,1770009300000
ARPAUSDT,0.0113,0.01126,0.01132,0.01126,6743.55047,127759.0,1443.75855,112,1770009300000
STORJUSDT,0.1059,0.1055,0.1059,0.1055,2230.2211,3375.0,357.3528,46,1770009300000
QTUMUSDT,1.034,1.033,1.036,1.033,10907.844,5602.6,5802.9684,124,1770009300000
GTCUSDT,0.105,0.105,0.105,0.105,735.9345,0.0,0.0,11,1770009300000
ATOMUSDT,1.908,1.905,1.909,1.905,27874.57904,2971.69,5666.40936,204,1770009300000
UNIUSDT,3.794,3.783,3.795,3.783,99281.329,7736.0,29315.401,584,1770009300000
SFPUSDT,0.2889,0.2887,0.289,0.2884,517.5602,826.0,238.3201,29,1770009300000
BATUSDT,0.1239,0.1237,0.124,0.1236,4644.3776,12213.2,1511.71568,57,1770009300000
ROSEUSDT,0.01714,0.01709,0.01715,0.01708,24649.18725,407252.0,6966.79774,210,1770009300000
KAVAUSDT,0.0616,0.0616,0.0616,0.0616,2241.64248,17943.1,1105.29496,29,1770009300000
TRXUSDT,0.28222,0.28213,0.28223,0.2821,36701.98655,17995.0,5077.07491,203,1770009300000
KSMUSDT,5.319,5.306,5.32,5.306,3983.0071,256.3,1361.98,130,1770009300000
ZILUSDT,0.00399,0.00398,0.00399,0.00398,4325.35311,891474.0,3556.98126,55,1770009300000
ENSUSDT,6.733,6.717,6.74,6.717,14049.596,618.8,4164.6372,251,1770009300000
RLCUSDT,0.4934,0.4925,0.4934,0.492,578.9023,304.7,150.187,32,1770009300000
SANDUSDT,0.09808,0.09789,0.09815,0.09789,33400.57831,105165.0,10308.87203,518,1770009300000
1000SHIBUSDT,0.006613,0.006604,0.006619,0.0066,71831.641368,4498282.0,29716.307676,506,1770009300000
BELUSDT,0.1091,0.1088,0.1091,0.1087,1461.2408,931.0,101.4063,37,1770009300000
VETUSDT,0.008126,0.008115,0.008133,0.008115,21806.977359,825468.0,6708.759145,309,1770009300000
ANKRUSDT,0.00489,0.004884,0.004892,0.00488,513.375882,53397.0,260.97094,35,1770009300000
MANAUSDT,0.1106,0.1104,0.1106,0.1103,4197.4288,5732.0,632.891,44,1770009300000
CRVUSDT,0.274,0.274,0.275,0.273,79937.7192,147463.8,40405.2854,233,1770009300000
GMTUSDT,0.01332,0.0133,0.01333,0.01329,8373.63029,91314.0,1215.25073,96,1770009300000
C98USDT,0.0188,0.0187,0.0188,0.0187,393.3268,11130.0,209.244,10,1770009300000
PEOPLEUSDT,0.00744,0.00743,0.00744,0.00742,9110.4825,380319.0,2825.98914,40,1770009300000
LRCUSDT,0.03977,0.03969,0.03978,0.03969,1457.51525,9565.0,380.14064,46,1770009300000
ZECUSDT,295.42,294.59,295.99,294.4,806940.36129,1103.384,325638.10537,3874,1770009300000
ADAUSDT,0.2818,0.2811,0.282,0.281,359423.1937,528404.0,148720.2944,1006,1770009300000
ATAUSDT,0.0136,0.0137,0.0137,0.0136,30.979,1750.0,23.975,2,1770009300000
HBARUSDT,0.08798,0.08787,0.08806,0.08787,66933.00698,246275.0,21661.90089,549,1770009300000
APEUSDT,0.1431,0.1428,0.1432,0.1428,20551.3021,26398.0,3774.494,160,1770009300000
AXSUSDT,1.702,1.7,1.706,1.696,233045.028,63180.0,107440.232,848,1770009300000
1000XECUSDT,0.00866,0.00864,0.00866,0.00864,499.13038,22785.0,197.3181,23,1770009300000
RUNEUSDT,0.4539,0.4531,0.4541,0.4531,6583.4748,9375.0,4254.3884,104,1770009300000
SKLUSDT,0.00745,0.00745,0.00747,0.00745,4009.00054,147638.0,1100.86797,102,1770009300000
DUSKUSDT,0.10043,0.10022,0.10048,0.10019,22278.94375,61844.0,6203.43525,414,1770009300000
STRKUSDT,0.0544,0.0542,0.0545,0.0542,27314.16181,178062.5,9681.58784,147,1770009300000
WOOUSDT,0.01902,0.01898,0.01903,0.01897,2748.38822,65069.0,1236.14015,66,1770009300000
JASMYUSDT,0.005722,0.00572,0.005731,0.00572,15147.2992,1074218.0,6148.244599,355,1770009300000
OPUSDT,0.2253,0.2246,0.2255,0.2246,61755.0586,94476.6,21259.69235,316,1770009300000
INJUSDT,3.522,3.514,3.524,3.514,32607.1009,3401.6,11967.7159,226,1770009300000
STGUSDT,0.1494,0.1491,0.1494,0.1491,3630.0696,3660.0,546.0927,76,1770009300000
SPELLUSDT,0.000206,0.0002055,0.000206,0.0002055,615.410909,1166534.0,239.8905349,28,1770009300000
LUNA2USDT,0.06635,0.06618,0.06636,0.06617,8876.20506,62606.0,4147.50459,209,1770009300000
1000LUNCUSDT,0.03739,0.03725,0.03739,0.03723,10152.33425,120862.0,4509.21133,220,1770009300000
LDOUSDT,0.4091,0.4082,0.4094,0.408,23971.8247,22798.0,9319.159,253,1770009300000
FETUSDT,0.1786,0.1785,0.1788,0.1785,26768.5726,78861.0,14087.8055,222,1770009300000
APTUSDT,1.228,1.2266,1.2299,1.2265,49427.86004,19444.2,23877.63604,759,1770009300000
ICPUSDT,2.605,2.599,2.607,2.598,71182.152,4565.0,11876.279,356,1770009300000
QNTUSDT,66.97,66.87,67.01,66.86,2489.809,11.1,743.055,177,1770009300000
HOOKUSDT,0.02957,0.0295,0.02957,0.0295,1035.421078,3341.2,98.649045,42,1770009300000
MAGICUSDT,0.0668,0.0668,0.0669,0.0668,4898.42326,18666.3,1246.94822,42,1770009300000
HIGHUSDT,0.1618,0.1614,0.1618,0.1611,1654.90896,2086.3,336.70985,34,1770009300000
TUSDT,0.00744,0.00743,0.00744,0.00743,626.94289,71537.0,532.12553,16,1770009300000
ASTRUSDT,0.008262,0.008249,0.008268,0.008249,4041.713439,239968.0,1982.651933,149,1770009300000
PHBUSDT,0.1766,0.1765,0.1766,0.1762,1730.3632,1093.0,192.8869,33,1770009300000
MINAUSDT,0.0692,0.069,0.0693,0.069,18619.0109,64083.0,4435.0809,90,1770009300000
CFXUSDT,0.05402,0.05392,0.05407,0.05392,10741.30972,76543.0,4135.24729,271,1770009300000
GMXUSDT,5.958,5.949,5.961,5.948,1726.79994,10.96,65.32059,25,1770009300000
STXUSDT,0.2522,0.2517,0.2525,0.2517,5248.8267,6868.0,1731.0995,171,1770009300000
SSVUSDT,3.799,3.795,3.801,3.795,1088.96782,70.97,269.63234,58,1770009300000
CKBUSDT,0.001931,0.00193,0.001932,0.001929,1173.951804,69598.0,134.391729,31,1770009300000
ACHUSDT,0.007989,0.007969,0.007992,0.007968,5516.290997,257194.0,2051.454947,182,1770009300000
TRUUSDT,0.00684,0.00684,0.00686,0.00684,2521.12324,265671.0,1820.07388,28,1770009300000
GUSDT,0.003668,0.003661,0.00367,0.003661,1562.141303,48281.0,177.12405,36,1770009300000
IDUSDT,0.05407,0.05398,0.05409,0.05398,3300.97924,30038.0,1623.48721,140,1770009300000
LQTYUSDT,0.3143,0.3142,0.3145,0.314,258.8705,405.8,127.48736,31,1770009300000
ARBUSDT,0.1313,0.1309,0.1314,0.1309,94688.37184,254218.7,33338.27068,445,1770009300000
JOEUSDT,0.04202,0.04196,0.04204,0.04194,305.79802,796.0,33.4169,20,1770009300000
TLMUSDT,0.001857,0.001853,0.001857,0.001852,1133.503492,108595.0,201.299313,33,1770009300000
POPCATUSDT,0.0542,0.0541,0.0544,0.0541,6187.3676,45241.0,2455.3575,53,1770009300000
MBOXUSDT,0.02311,0.02307,0.02311,0.02307,323.68905,3971.0,91.74906,17,1770009300000
RDNTUSDT,0.00701,0.007,0.00701,0.007,53.05484,2984.0,20.91784,4,1770009300000
CHESSUSDT,0.0244,0.02439,0.02442,0.02439,157.25374,3407.0,83.12419,10,1770009300000
XVSUSDT,3.481,3.475,3.486,3.475,3253.3336,463.6,1614.2105,156,1770009300000
HFTUSDT,0.02044,0.02036,0.02046,0.02036,13919.8853,313513.0,6396.78383,153,1770009300000
ETHBTC,0.029364,0.029305,0.029364,0.029298,6.19219171,88.2,2.58547089,135,1770009300000
BLURUSDT,0.02193,0.02188,0.02195,0.02188,6090.61681,41474.0,908.98554,109,1770009300000
EDUUSDT,0.1516,0.1512,0.1516,0.1512,3916.2395,1748.0,264.6376,56,1770009300000
SUIUSDT,1.0858,1.0836,1.0872,1.0836,309518.52489,157900.8,171437.58172,1554,1770009300000
1000PEPEUSDT,0.0040845,0.004076,0.0040895,0.0040741,421566.1749516,46117439.0,188281.5059519,3459,1770009300000
1000FLOKIUSDT,0.03362,0.03354,0.03365,0.03354,15931.4465,138185.0,4639.68539,176,1770009300000
HMSTRUSDT,0.0001861,0.0001858,0.0001861,0.0001858,2016.0178137,1830248.0,340.2408013,32,1770009300000
UMAUSDT,0.5537,0.5527,0.5543,0.5527,1824.3009,1050.0,581.3547,70,1770009300000
MAVUSDT,0.0198,0.01977,0.01981,0.01977,431.72645,2221.0,43.98121,26,1770009300000
XVGUSDT,0.005441,0.00544,0.005447,0.005433,6114.342317,772431.0,4203.906711,128,1770009300000
NMRUSDT,8.846,8.823,8.849,8.822,5793.1631,383.1,3385.2244,186,1770009300000
WLDUSDT,0.3912,0.3904,0.3916,0.3904,78360.7875,124418.0,48660.4689,632,1770009300000
PENDLEUSDT,1.5434,1.5409,1.5456,1.5406,17468.99,4133.0,6378.3661,564,1770009300000
ARKMUSDT,0.1283,0.128,0.1284,0.128,9523.7087,27011.0,3463.7451,96,1770009300000
YGGUSDT,0.04529,0.04517,0.04532,0.04517,3104.19375,18003.0,814.21583,138,1770009300000
AGLDUSDT,0.2302,0.2297,0.2303,0.2295,1847.6869,3513.0,807.575,53,1770009300000
COWUSDT,0.1573,0.1571,0.1577,0.1571,3484.2231,12519.0,1971.6245,60,1770009300000
