symbol,open,close,high,low,quote_volume,taker_buy_base_volume,taker_buy_quote_volume,trades,open_time
1INCHUSDT,0.1122,0.1126,0.1126,0.1122,8878.1362,68473.0,7693.4797,77,1770006060000
STORJUSDT,0.1059,0.1061,0.1062,0.1059,3186.5165,9106.0,965.8012,48,1770006060000
NEOUSDT,3.101,3.107,3.109,3.101,6530.76991,1395.37,4331.39745,111,1770006060000
QTUMUSDT,1.052,1.055,1.055,1.052,1874.9725,224.9,237.0461,25,1770006060000
BNBUSDT,748.72,749.6,749.89,748.37,650528.4679,460.04,344634.8793,2025,1770006060000
SANDUSDT,0.09922,0.09957,0.09964,0.09919,18991.24312,88825.0,8831.16989,679,1770006060000
SNXUSDT,0.333,0.335,0.335,0.333,17297.4602,37627.9,12593.679,56,1770006060000
ATOMUSDT,1.916,1.92,1.922,1.915,13739.04898,3691.62,7080.8603,154,1770006060000
UNIUSDT,3.806,3.814,3.817,3.806,94041.219,11364.0,43324.909,400,1770006060000
ANKRUSDT,0.004932,0.004942,0.004942,0.004931,1870.386784,290951.0,1435.594221,43,1770006060000
LPTUSDT,2.542,2.549,2.55,2.542,3897.9823,1196.1,3044.3225,112,1770006060000
FILUSDT,1.036,1.038,1.039,1.036,62345.9082,37696.6,39123.0689,246,1770006060000
RLCUSDT,0.4965,0.4973,0.4973,0.4962,766.21286,1477.4,733.91024,24,1770006060000
DOTUSDT,1.49,1.494,1.495,1.49,87702.3982,26000.1,38813.4802,301,1770006060000
BANDUSDT,0.2459,0.2466,0.2466,0.2459,760.85911,1307.0,321.91906,44,1770006060000
DASHUSDT,43.77,43.91,43.97,43.77,54980.96247,907.149,39790.66049,647,1770006060000
COTIUSDT,0.01395,0.01398,0.01398,0.01394,2083.08437,120679.0,1685.67922,38,1770006060000
IOTXUSDT,0.00628,0.00629,0.00629,0.00628,1623.98736,66897.0,420.35,25,1770006060000
PEOPLEUSDT,0.00744,0.00747,0.00747,0.00743,2981.76447,72799.0,542.491,31,1770006060000
ZRXUSDT,0.1062,0.1064,0.1064,0.1062,1051.56618,4996.1,530.85913,20,1770006060000
RSRUSDT,0.001793,0.001796,0.001796,0.001793,918.165637,388879.0,697.786591,47,1770006060000
BATUSDT,0.124,0.1243,0.1243,0.124,2724.96671,5314.0,660.01642,49,1770006060000
ENJUSDT,0.02363,0.0237,0.0237,0.02363,1093.14056,41987.0,993.55131,45,1770006060000
AAVEUSDT,124.37,124.6,124.67,124.37,81702.35,272.9,33982.005,489,1770006060000
COMPUSDT,19.3,19.36,19.36,19.3,3248.14509,103.859,2006.34728,79,1770006060000
AVAXUSDT,9.795,9.819,9.822,9.795,98357.154,3692.0,36229.5,630,1770006060000
XLMUSDT,0.17208,0.17237,0.17261,0.17205,50026.34228,151250.0,26072.89022,506,1770006060000
NKNUSDT,0.00999,0.01,0.01001,0.00998,517.28665,29447.0,294.45123,27,1770006060000
IOTAUSDT,0.0705,0.0707,0.0707,0.0705,2670.41284,26923.3,1902.1714,31,1770006060000
CHRUSDT,0.0294,0.0294,0.0295,0.0294,2447.4017,32161.0,948.7495,13,1770006060000
GTCUSDT,0.105,0.105,0.106,0.105,370.976,1208.0,128.048,22,1770006060000
RUNEUSDT,0.4553,0.4568,0.4568,0.4553,5141.7551,8415.0,3839.4302,102,1770006060000
BTCDOMUSDT,5074.7,5072.2,5075.0,5071.2,10069.8505,1.274,6462.336,113,1770006060000
ONEUSDT,0.00285,0.00286,0.00286,0.00284,508.31245,135884.0,387.42875,39,1770006060000
ETHUSDT,2228.9,2233.02,2233.68,2227.42,10842950.54699,2537.597,5661413.17268,17495,1770006060000
IOSTUSDT,0.001358,0.00136,0.00136,0.001357,883.03757,465595.0,632.602901,33,1770006060000
MASKUSDT,0.5147,0.5166,0.5168,0.5146,8152.0781,7075.0,3648.8194,196,1770006060000
LTCUSDT,57.87,57.98,57.99,57.87,70452.34234,702.483,40699.63275,428,1770006060000
API3USDT,0.325,0.3261,0.3261,0.325,2178.80922,4788.4,1558.70126,55,1770006060000
ZENUSDT,7.003,7.029,7.035,7.003,14380.1808,1361.5,9554.1932,303,1770006060000
THETAUSDT,0.2121,0.2129,0.2129,0.2121,6023.2627,8465.3,1800.03555,109,1770006060000
YFIUSDT,2772.0,2775.0,2776.0,2771.0,1106.555,0.283,784.909,40,1770006060000
DENTUSDT,0.000159,0.000159,0.000159,0.000158,265.557802,986802.0,156.901518,17,1770006060000
RVNUSDT,0.00601,0.00602,0.00602,0.00601,227.26888,14169.0,85.28864,15,1770006060000
ARUSDT,2.462,2.468,2.47,2.462,9117.5531,2344.5,5780.2818,119,1770006060000
TRBUSDT,15.891,15.955,15.957,15.887,6712.6294,299.4,4771.0309,349,1770006060000
GMTUSDT,0.01343,0.01347,0.01347,0.01343,3450.9945,187635.0,2523.39063,60,1770006060000
MTLUSDT,0.301,0.3017,0.3017,0.301,677.8032,2006.0,604.5721,37,1770006060000
CELOUSDT,0.092,0.092,0.093,0.092,87.0905,58.5,5.4405,5,1770006060000
HBARUSDT,0.08812,0.08835,0.08836,0.0881,31972.06726,267456.0,23604.48951,418,1770006060000
SOLUSDT,99.73,99.95,100.08,99.72,3237463.3294,20407.14,2038585.906,4018,1770006060000
LRCUSDT,0.04005,0.04016,0.04022,0.04005,5140.69073,75548.0,3035.11788,100,1770006060000
EGLDUSDT,4.614,4.627,4.628,4.614,2215.6845,208.0,961.6195,111,1770006060000
GALAUSDT,0.00469,0.0047,0.00471,0.00469,12627.4814,1284219.0,6036.64328,79,1770006060000
SUSHIUSDT,0.2342,0.2348,0.2348,0.2342,3416.9439,9069.0,2126.5974,43,1770006060000
CELRUSDT,0.00287,0.00288,0.00288,0.00286,1992.98144,390533.0,1121.08918,46,1770006060000
GRTUSDT,0.02952,0.02963,0.02964,0.02952,3162.54675,57951.0,1714.56119,96,1770006060000
ARPAUSDT,0.01142,0.01144,0.01144,0.01142,3465.59191,146092.0,1669.9732,63,1770006060000
SKLUSDT,0.0075,0.0075,0.00751,0.00749,2442.81026,234235.0,1756.82195,32,1770006060000
DOGEUSDT,0.1026,0.10272,0.10284,0.10255,550357.63478,2584804.0,265469.28657,2577,1770006060000
ONTUSDT,0.0501,0.0502,0.0502,0.05,1214.39076,23562.8,1180.64076,25,1770006060000
XTZUSDT,0.459,0.459,0.46,0.459,27082.5686,15164.8,6966.2456,109,1770006060000
BCHUSDT,508.9,509.9,510.0,508.75,135014.39914,181.581,92488.35258,728,1770006060000
CHZUSDT,0.04541,0.04556,0.04558,0.04541,11645.83145,199257.0,9063.48865,259,1770006060000
ETCUSDT,9.481,9.508,9.509,9.481,22733.17149,1262.11,11985.69676,257,1770006060000
KSMUSDT,5.343,5.358,5.359,5.342,3162.5863,414.7,2219.5144,79,1770006060000
ENSUSDT,6.764,6.791,6.792,6.764,6816.2772,513.1,3478.5718,260,1770006060000
ZECUSDT,296.97,298.06,298.24,296.96,225604.55891,496.981,148008.68187,1568,1770006060000
C98USDT,0.0189,0.019,0.019,0.0188,17065.9394,616426.0,11658.7598,73,1770006060000
ALGOUSDT,0.1009,0.1012,0.1012,0.1009,11846.21237,59011.8,5963.49131,87,1770006060000
LINKUSDT,9.299,9.321,9.328,9.299,155715.63631,8827.44,82234.47551,963,1770006060000
OGNUSDT,0.0235,0.0235,0.0236,0.0235,2952.1969,25142.0,591.4104,36,1770006060000
CTSIUSDT,0.0275,0.0276,0.0276,0.0274,1775.3085,55682.0,1531.7824,44,1770006060000
DUSKUSDT,0.09994,0.1006,0.10079,0.09994,77805.6631,456443.0,45865.96616,978,1770006060000
XRPUSDT,1.5735,1.5745,1.5763,1.5718,711250.34999,228080.0,359058.74308,2782,1770006060000
1000SHIBUSDT,0.006639,0.006653,0.006655,0.006638,62258.031879,4635929.0,30808.42907,483,1770006060000
NEARUSDT,1.169,1.172,1.173,1.169,36654.859,12377.0,14488.321,223,1770006060000
KAVAUSDT,0.0621,0.0622,0.0622,0.0621,1198.53617,11112.5,691.03634,31,1770006060000
HOTUSDT,0.000407,0.000406,0.000407,0.000406,28.879601,12595.0,5.126165,2,1770006060000
FLOWUSDT,0.0555,0.05591,0.05592,0.05549,18550.473314,229649.4,12805.012813,681,1770006060000
IMXUSDT,0.179,0.1795,0.1796,0.179,3682.6232,16924.0,3036.1826,73,1770006060000
BELUSDT,0.1095,0.1098,0.1098,0.1095,1292.3769,9755.0,1069.7466,24,1770006060000
KNCUSDT,0.1697,0.1701,0.1701,0.1697,1194.3363,1663.0,282.5349,23,1770006060000
