symbol,open,close,high,low,quote_volume,taker_buy_base_volume,taker_buy_quote_volume,trades,open_time
NEOUSDT,3.212,3.202,3.214,3.201,20498.35372,1906.7,6123.51971,279,1770001740000
COMPUSDT,19.42,19.42,19.44,19.42,4409.69889,66.042,1282.67094,54,1770001740000
ATOMUSDT,1.925,1.925,1.926,1.924,10491.41367,969.41,1866.15135,113,1770001740000
STORJUSDT,0.1074,0.1074,0.1074,0.1073,778.8493,1068.0,114.7032,14,1770001740000
1INCHUSDT,0.1148,0.1148,0.1148,0.1145,13106.5597,61943.0,7105.9268,115,1770001740000
ZECUSDT,307.13,306.95,307.14,306.7,396869.54156,606.28,186074.64073,2011,1770001740000
BCHUSDT,513.93,513.32,513.93,513.14,34929.07933,25.866,13280.07611,504,1770001740000
CHZUSDT,0.04581,0.04588,0.04593,0.04579,32665.63877,548793.0,25167.45932,427,1770001740000
ENJUSDT,0.02377,0.02376,0.02377,0.02375,711.45964,8910.0,211.74225,33,1770001740000
CHRUSDT,0.0299,0.0299,0.0299,0.0299,7.3554,246.0,7.3554,1,1770001740000
UNIUSDT,3.877,3.878,3.878,3.875,12671.246,1983.0,7689.566,195,1770001740000
RVNUSDT,0.0061,0.0061,0.0061,0.00609,220.91934,34563.0,210.8343,12,1770001740000
ETCUSDT,9.551,9.553,9.556,9.547,12027.00716,801.36,7654.13823,112,1770001740000
BANDUSDT,0.2454,0.2455,0.2455,0.2454,1952.84745,761.5,186.9229,73,1770001740000
DUSKUSDT,0.09953,0.09943,0.09958,0.09941,10704.93074,80930.0,8054.2373,239,1770001740000
LTCUSDT,58.64,58.63,58.65,58.61,31865.0013,282.478,16560.49235,284,1770001740000
DOTUSDT,1.506,1.505,1.507,1.504,53836.1772,11406.8,17173.3269,193,1770001740000
ONTUSDT,0.0507,0.0507,0.0508,0.0506,3602.34464,57538.7,2917.2223,39,1770001740000
ALGOUSDT,0.1015,0.1014,0.1015,0.1013,3770.18084,29469.7,2989.30871,57,1770001740000
DASHUSDT,43.56,43.6,43.6,43.52,13683.96576,127.172,5538.91659,280,1770001740000
CRVUSDT,0.275,0.274,0.276,0.274,89551.3039,94183.0,25910.6059,260,1770001740000
1000SHIBUSDT,0.006688,0.006692,0.006693,0.006686,35344.872496,498524.0,3335.062842,146,1770001740000
VETUSDT,0.0082,0.008195,0.0082,0.008195,1966.784995,181920.0,1491.208737,86,1770001740000
ADAUSDT,0.2869,0.287,0.2871,0.2867,103753.9579,183254.0,52582.8041,400,1770001740000
ENSUSDT,6.807,6.807,6.811,6.805,2759.5713,160.3,1091.2751,110,1770001740000
ONEUSDT,0.00287,0.00286,0.00287,0.00286,65.20637,22717.0,65.19779,3,1770001740000
ICXUSDT,0.0441,0.0441,0.0441,0.0441,14.8617,0.0,0.0,1,1770001740000
KAVAUSDT,0.0627,0.0627,0.0627,0.0627,97.64898,1557.4,97.64898,7,1770001740000
ROSEUSDT,0.01737,0.01739,0.0174,0.01736,11420.66264,542205.0,9424.82623,146,1770001740000
TRXUSDT,0.28334,0.2833,0.28334,0.2833,14995.83275,32990.0,9346.94653,110,1770001740000
HBARUSDT,0.08893,0.08889,0.08894,0.08886,21688.1746,172761.0,15360.04911,354,1770001740000
SFPUSDT,0.2922,0.2921,0.2923,0.2919,1308.3559,685.0,200.0694,43,1770001740000
ZENUSDT,7.045,7.046,7.046,7.039,7010.3969,772.4,5440.0246,225,1770001740000
SKLUSDT,0.00775,0.00775,0.00776,0.00775,1647.24239,49710.0,385.27114,34,1770001740000
GRTUSDT,0.0297,0.02968,0.02971,0.02966,5908.73113,35135.0,1042.86401,103,1770001740000
KSMUSDT,5.373,5.372,5.374,5.37,500.6915,35.2,189.111,31,1770001740000
XMRUSDT,403.97,403.75,404.11,403.02,139324.38178,242.341,97732.83124,1342,1770001740000
TRBUSDT,15.99,15.985,15.992,15.982,3577.7103,163.8,2618.5048,355,1770001740000
XLMUSDT,0.17478,0.17475,0.17483,0.17466,21160.11613,26473.0,4627.04248,331,1770001740000
SOLUSDT,100.24,100.25,100.28,100.16,1642087.1846,7897.24,791418.0508,1764,1770001740000
RUNEUSDT,0.4603,0.4602,0.4605,0.4601,1135.2051,1602.0,737.5477,47,1770001740000
QTUMUSDT,1.075,1.074,1.075,1.074,3662.964,1819.9,1955.4201,63,1770001740000
LPTUSDT,2.537,2.535,2.537,2.533,2075.6308,190.0,481.7005,71,1770001740000
ETHUSDT,2258.15,2259.01,2260.0,2256.48,4912635.02227,1176.999,2657934.7042,9718,1770001740000
NKNUSDT,0.01001,0.01001,0.01001,0.01001,149.19905,3286.0,32.89286,11,1770001740000
ZRXUSDT,0.1074,0.1074,0.1075,0.1074,1056.70259,7838.2,841.82741,37,1770001740000
CTSIUSDT,0.0275,0.0275,0.0275,0.0274,261.7154,8126.0,223.465,6,1770001740000
BNBUSDT,757.14,756.94,757.3,756.78,276039.7109,197.78,149742.9022,1287,1770001740000
MTLUSDT,0.3053,0.3051,0.3053,0.3051,774.6853,69.0,21.0519,40,1770001740000
YFIUSDT,2781.0,2782.0,2782.0,2780.0,1518.427,0.096,266.98,50,1770001740000
SANDUSDT,0.09956,0.09956,0.0996,0.09952,11101.94016,72991.0,7267.81754,220,1770001740000
DENTUSDT,0.000159,0.000159,0.000159,0.000159,7.728513,48607.0,7.728513,1,1770001740000
ZILUSDT,0.00406,0.00406,0.00406,0.00406,18.16444,4474.0,18.16444,1,1770001740000
IOSTUSDT,0.001363,0.001363,0.001363,0.001361,1225.930747,162692.0,221.695595,61,1770001740000
LINKUSDT,9.425,9.419,9.429,9.417,130692.53303,5909.66,55687.75659,483,1770001740000
IOTAUSDT,0.0709,0.071,0.071,0.0709,727.18775,6400.0,454.4,20,1770001740000
ARPAUSDT,0.01129,0.01128,0.01129,0.01128,793.30537,21989.0,248.25581,32,1770001740000
BATUSDT,0.1254,0.1254,0.1254,0.1252,1665.10342,1013.6,127.06567,40,1770001740000
RSRUSDT,0.001793,0.001792,0.001793,0.001791,751.870968,17138.0,30.711296,32,1770001740000
XRPUSDT,1.5827,1.5826,1.5834,1.5815,598902.21826,131892.1,208723.72295,1413,1770001740000
ALICEUSDT,0.131,0.131,0.131,0.131,337.2333,2574.3,337.2333,5,1770001740000
MASKUSDT,0.5208,0.5204,0.5208,0.5203,1930.954,1322.0,687.9604,72,1770001740000
