symbol,open,close,high,high_std,low,low_std,total_volume,quote_volume_1m_avg,quote_volume_std,taker_buy_base_volume_1m_avg,taker_buy_base_volume_std,taker_buy_quote_volume_1m_avg,taker_buy_quote_volume_std,trades_1m_avg,trades_std,volatility_1m_avg,volatility_std
0GUSDT,0.6394,0.6394,0.64,0.0002828427124746271,0.6389,0.00021213203435594088,17687.2031,8843.60155,2355.330473857554,7293.0,1574.0196949212548,4663.1422,1004.2232925675545,172.0,48.08326112068523,0.001172803497963476,0.00011083117682565629
1000000BOBUSDT,0.01426,0.01423,0.01426,7.071067811865187e-06,0.01422,2.1213203435597403e-05,161.53972,80.76986,97.95141532057717,1760.0,1879.4898243938433,25.06671,26.757839838914503,7.5,4.949747468305833,0.0014032627149922529,0.000992778547144663
1000000MOGUSDT,0.1917,0.1916,0.1917,0.0,0.1915,0.0,1433.9172600000002,716.9586300000001,207.90596825179605,1757.7,1491.5710442349034,336.78716000000003,285.75924510430104,9.5,0.7071067811865476,0.0010432968179447351,0.0
1000BONKUSDT,0.007164,0.007161,0.007174,5.656854249492211e-06,0.007158,3.5355339059325934e-06,96695.21922700001,48347.609613500004,33909.921203505175,2438072.5,1168957.1108524469,17475.0409955,8386.51675712825,326.5,31.81980515339464,0.0013259189861920973,0.0002963287475467976
1000CATUSDT,0.002095,0.002092,0.002097,2.8284271247461056e-06,0.002091,1.4142135623731295e-06,2025.645003,1012.8225015,848.9449662647647,131300.0,94656.142156756,274.9123745,198.26236182426686,17.0,0.0,0.0014324370244262158,0.0006743972256476092
1000CHEEMSUSDT,0.0006716,0.0006702,0.0006718,2.8284271247462586e-07,0.0006699,7.778174593052212e-07,1066.1324994000001,533.0662497000001,301.95047152810696,361810.0,183697.8564708908,242.67232745,122.9247677474453,68.0,11.313708498984761,0.0017126614260902836,0.0007374787099512834
1000FLOKIUSDT,0.0354,0.0353,0.03544,8.48528137423847e-05,0.03527,2.8284271247460747e-05,135788.47735,67894.238675,47237.82023268124,678753.0,345956.2353362055,23982.477745,12252.211201343833,353.5,174.65537495307723,0.0025439724616259656,0.0015957192782982182
1000LUNCUSDT,0.03681,0.03656,0.03684,3.535533905932348e-05,0.03655,0.00015556349186103901,49991.624930000005,24995.812465000003,29928.625418481017,128212.0,110441.59393996448,4699.949855,4038.5641617070223,273.5,260.92240225783604,0.004212584491123092,0.0032681447756227017
1000PEPEUSDT,0.0042383,0.0042365,0.0042448,3.889087296526221e-06,0.0042337,2.262741699797007e-06,533662.3395287001,266831.16976435005,2588.725184162898,30838922.5,615620.5987298508,130708.63578505,2517.099199590961,1853.0,223.44574285494903,0.0015926040953530081,0.0003837479705179538
1000RATSUSDT,0.06231,0.06245,0.06248,4.242640687118867e-05,0.06231,5.656854249492395e-05,3360.04018,1680.02009,1152.200801458669,24567.0,19001.373424044905,1532.594755,1184.466331371585,46.0,8.48528137423857,0.0016037216525515707,0.00022860063934093626
1000SATSUSDT,1.3e-05,1.29e-05,1.3e-05,0.0,1.29e-05,0.0,1991.9718699,995.98593495,509.2135861655773,73363269.0,38191187.9768489,953.722497,496.4854436990357,51.5,2.1213203435596424,0.007692307692307619,0.0
1000SHIBUSDT,0.006877,0.006874,0.006884,5.6568542494928245e-06,0.00687,3.5355339059325934e-06,73052.303181,36526.1515905,25856.131772375975,2647692.5,1627978.306286819,18209.4014535,11202.162543552618,219.5,12.020815280171307,0.0010907187330627972,0.00030828647968802976
1000WHYUSDT,1.34e-05,1.33e-05,1.34e-05,0.0,1.33e-05,0.0,313.5119648,156.7559824,180.89281025612863,2082659.0,1444213.2746717155,27.9076306,19.35245788060099,9.5,2.1213203435596424,0.007462686567164234,0.0
1000XECUSDT,0.00904,0.00903,0.00904,7.071067811865187e-06,0.00902,1.4142135623730373e-05,1570.78226,785.39113,1101.6210149941912,4074.0,4756.000210260719,36.791775,42.94165436944005,7.0,5.656854249492381,0.0005537098560354149,0.0007830639880249377
1INCHUSDT,0.1133,0.1132,0.1133,0.0,0.1132,0.0,2239.7092000000002,1119.8546000000001,79.09611601538984,6603.5,2520.835674930042,748.1765499999999,285.61068196957376,20.0,5.656854249492381,0.0008826125330979953,0.0
