symbol,open,close,high,high_std,low,low_std,total_volume,quote_volume_1m_avg,quote_volume_std,taker_buy_base_volume_1m_avg,taker_buy_base_volume_std,taker_buy_quote_volume_1m_avg,taker_buy_quote_volume_std,trades_1m_avg,trades_std,volatility_1m_avg,volatility_std
0GUSDT,0.643,0.65,0.6523,0.0042011496274343,0.634,0.00471250769904513,2163155.0144,36052.58357333334,29686.02648993914,30273.683333333334,27781.27786257651,19514.444298333332,17912.538065713696,472.8666666666667,222.84998881338151,0.0034112215466100683,0.0020143827042983097
1000000BOBUSDT,0.01417,0.01418,0.01429,6.173457857708506e-05,0.014,6.628904349992824e-05,10871.75688,181.19594800000002,186.35685666813652,6484.6,8202.260255253746,91.96878216666667,116.13694731099022,9.433333333333334,6.5025853181030255,0.0023858743346690304,0.0018006810775271938
1000000MOGUSDT,0.189,0.1892,0.1911,0.0013164495994995786,0.1854,0.0014214449161741994,92747.08622,1545.7847703333332,1228.7507219836516,3769.615,3715.8097818907404,712.6753006666667,700.1539862083027,17.116666666666667,10.304008873737274,0.0027094427975060923,0.00183842825760715
1000BONKUSDT,0.007101,0.007139,0.007194,4.626720171787116e-05,0.006994,4.9222712478375963e-05,2789125.56763,46485.42612716667,40348.58118635532,3558226.0166666666,3755459.9878575057,25323.043877366665,26658.705520105286,396.35,220.12067761086058,0.0031009923346499275,0.0017360053695745202
1000CATUSDT,0.002101,0.002111,0.002126,1.272804412879812e-05,0.002066,1.3842077421565936e-05,70394.220474,1173.2370079,1123.9219715550423,309632.86666666664,375412.4599796176,650.8810934833333,784.165299148693,24.316666666666666,18.295587748783756,0.0022831842049304127,0.0015402971983221158
1000CHEEMSUSDT,0.0006202,0.0006265,0.0006295,4.330858919781523e-06,0.000612,4.560719972402016e-06,104895.5397132,1748.25899522,1114.7461391282072,1461028.8,966054.6972663609,910.5759590833334,600.9660481785099,63.916666666666664,31.862145685493566,0.0027740149493644356,0.0013257704440879981
1000FLOKIUSDT,0.03442,0.03454,0.03488,0.0002063727634987818,0.03391,0.00022205791477478525,676397.52418,11273.292069666666,9259.422008777963,172603.1,172935.71779962402,5954.964106833333,5951.726359660084,155.11666666666667,78.42714241043511,0.002822669950066222,0.001621437148804251
1000LUNCUSDT,0.03678,0.03712,0.03723,0.00023168572859836808,0.03621,0.0002592100123615493,738438.21756,12307.303626,11725.6585551045,174312.08333333334,182726.09548352408,6409.3805225,6677.721140056521,169.81666666666666,107.13060169348924,0.0028207984920310524,0.0017228520989657403
1000PEPEUSDT,0.004201,0.0042031,0.0042594,2.500962950138592e-05,0.0041329,2.6848065927879988e-05,20428637.0882844,340477.28480474,257272.52790681974,40914059.96666667,33393491.901412353,172114.1668034017,140221.85284750955,2672.9333333333334,1313.8841997662805,0.0034531069389510853,0.0017549624671621671
1000RATSUSDT,0.06581,0.0656,0.06584,0.0004469000570786937,0.064,0.00048279798912701633,291456.42296,4857.607049333334,3767.2294793538076,34963.316666666666,36912.17405694072,2272.0359266666665,2398.012374783512,60.416666666666664,36.649180473491235,0.0030479203304715594,0.0017225547220917092
1000SATSUSDT,1.25e-05,1.26e-05,1.27e-05,9.404590777041442e-08,1.23e-05,1.0217963577005601e-07,302834.5441525,5047.242402541667,11756.874056798502,215820817.46666667,512765084.4157187,2706.1640517833334,6438.48968547044,70.25,35.71621907599888,0.008646987579870138,0.0026980355559812013
1000SHIBUSDT,0.006701,0.006767,0.0068,4.029513646333561e-05,0.00665,4.2458790256630004e-05,3869950.774807,64499.179580116666,52403.276160042675,5737657.216666667,5342016.020623488,38610.67498981667,35766.391990371325,377.75,207.80170021000666,0.0023502738223850203,0.0012391095016610354
1000WHYUSDT,1.28e-05,1.28e-05,1.3e-05,5.237306419436776e-08,1.27e-05,4.666868437930166e-08,29743.7793841,495.72965640166666,707.5114299753192,18618164.65,37501380.41254413,239.66116256499998,481.9804469761478,11.75,10.399845174857989,0.006492263957557659,0.0029280746309435658
1000XECUSDT,0.00889,0.00891,0.00896,4.634676470769071e-05,0.00877,4.939292476609476e-05,39012.71395,650.2118991666666,607.9054755157764,38849.36666666667,45960.92375492088,345.0912908333333,407.9409821086184,11.866666666666667,8.195630639671414,0.0017628934524108462,0.0012562257691355611
1INCHUSDT,0.1141,0.1156,0.1173,0.0015458711182127413,0.1121,0.0015264698390376342,1489869.8581,24831.164301666668,19635.92766757077,123781.38333333333,121153.42784536091,14248.236618333332,13971.86464375454,153.26666666666668,80.27407852859987,0.004076161975553902,0.0018268305940118599
1MBABYDOGEUSDT,0.0004662,0.0004671,0.0004727,2.750311230462221e-06,0.0004594,2.916636480876868e-06,184501.0087333,3075.0168122216664,2559.3542392390646,3484083.9,3987060.0359445503,1628.1819624316668,1865.1782447421729,92.85,45.5846483971471,0.0026593273959908,0.0013743581401097747
2ZUSDT,0.10881,0.10935,0.11047,0.0010614433596051011,0.10638,0.0010706422777966903,392827.69387,6547.128231166667,3545.1234448840255,32754.2,20480.308460501474,3555.358923333333,2213.9756889441205,290.1166666666667,115.09290155652768,0.003418221721255588,0.0016857694316968126
4USDT,0.01184,0.01178,0.01197,8.189217107645757e-05,0.0116,8.062240229249198e-05,204258.17277,3404.3028795,4929.194747011856,128565.63333333333,198007.06688098895,1522.834054,2357.3002497066273,50.71666666666667,30.68323213847063,0.003877609875600217,0.0021642281288274693
A2ZUSDT,0.00111,0.001106,0.001118,5.00539257224249e-06,0.001093,5.02299795685569e-06,74318.837778,1238.6472963,1773.1670768588954,577370.0333333333,851490.8994404047,639.6044391333332,944.6750837523873,26.55,21.936290649460936,0.0025454184669870886,0.001760197769960576
AAVEUSDT,126.04,126.24,127.39,0.7309268939461644,123.93,0.7923969750710106,5262878.083000001,87714.63471666668,98105.18743757361,386.10833333333335,517.4083216235614,48735.89133333333,65541.8515470693,717.5,379.6385658464721,0.0028636202051618696,0.0015743779758380302
ACEUSDT,0.2048,0.2055,0.2066,0.0012373141588471104,0.2017,0.0012997609515112557,82192.425472,1369.8737578666667,1356.4150960572515,3263.6586666666667,3062.8242154965556,669.0087388,627.9332284204028,26.566666666666666,17.314994644758706,0.0020750332021166103,0.0013029877802074607
ACHUSDT,0.008125,0.008131,0.008211,4.44434383125287e-05,0.007999,4.7291809589370544e-05,174171.410713,2902.8568452166664,1850.686653617599,176186.91666666666,130809.50371933235,1431.0016799166667,1058.4416207116813,131.31666666666666,72.908461685258,0.0027119504996001116,0.0014310124921647974
ACTUSDT,0.01501,0.01528,0.01548,0.00019504280277737597,0.01477,0.00018909620007116843,235423.92824,3923.7321373333334,3189.377218389609,143586.11666666667,134852.10502785555,2183.9747743333332,2062.927545063794,62.266666666666666,30.698018854348256,0.0035274083045180146,0.001762891248018844
ACUUSDT,0.17139,0.17158,0.17732,0.0014173222145606385,0.1702,0.001458080107151218,1244883.03348,20748.050558,14079.199549120553,57071.46666666667,40100.57606520861,9916.614489833333,6974.034942910898,931.4,425.7489990234758,0.005905049144336221,0.002797268145105809
ACXUSDT,0.03991,0.04021,0.04044,0.0001795879621750621,0.0396,0.00019155445007786295,76266.511135,1271.1085189166665,1020.3940262390772,16799.981666666667,20746.975112788732,672.4210861166666,828.7070947610002,35.56666666666667,22.351101794149418,0.0026496663492666817,0.0013154913536700737
ADAUSDT,0.2891,0.2905,0.2934,0.001780220103194908,0.2852,0.0019050749944460044,14762610.914,246043.51523333334,187055.25203240418,430862.81666666665,352086.9116472109,124848.07065333333,101747.7886011486,776.6333333333333,411.493104609595,0.0030991525203186853,0.0015954622016534543
AERGOUSDT,0.05473,0.05572,0.05611,0.0005526373336998392,0.05383,0.0006006334697398641,315583.58599,5259.7264331666665,7085.859690202998,41288.583333333336,55505.03266639902,2273.272210666667,3060.922633000087,96.78333333333333,62.27143744048275,0.0039724533272420684,0.0020842532713272873
AEROUSDT,0.38,0.3874,0.402,0.006067280731944584,0.3786,0.005738796503687394,3291637.03229,54860.61720483333,83290.05197418739,55776.27166666666,79094.2588407024,21679.11265833333,30528.246563413937,476.26666666666665,378.33595807845336,0.005199592754794432,0.003409117618044664
AEVOUSDT,0.0285,0.02852,0.0288,0.00016749365448811835,0.02802,0.00017840623674842386,58452.654664,974.2109110666667,992.6616963646337,19264.38,27396.18227437501,548.1857613166667,778.2249006616256,25.75,19.781539930801603,0.002688246388671927,0.0014649977152485678
AGLDUSDT,0.2363,0.2382,0.2395,0.0017077184369464992,0.2324,0.0018134899400635888,110372.5282,1839.5421366666667,1255.1656384118269,3521.5833333333335,2919.564021850457,834.8753416666666,691.2884551453517,47.25,25.93056242730979,0.0030335188592474096,0.0015900573565414747
AGTUSDT,0.00371,0.0037,0.003713,1.8687165903141416e-05,0.003625,2.0676578632714138e-05,36450.862523,607.5143753833333,781.8488071650788,78778.8,180631.24771246727,289.0093964166666,657.944329216557,25.05,13.84591354999367,0.0028926554605201516,0.0017354862087888363
AIAUSDT,0.11657,0.1167,0.11862,0.000812863669155396,0.11411,0.0009056951632936788,372050.71132,6200.845188666667,4340.985424360477,24910.216666666667,20339.49116498652,2900.4806556666667,2347.712605208564,140.51666666666668,67.46411266128938,0.0045075504037320685,0.0025579030785714803
AINUSDT,0.03992,0.04007,0.0402,0.0001271082104946077,0.03965,0.00013349749780765396,16402.80973,273.3801621666667,247.7112501094481,3760.616666666667,3829.650553123554,150.3441385,153.12350080051726,16.016666666666666,8.201884171018406,0.00173384209738434,0.0009148302570541896
AIOTUSDT,0.0565,0.0566,0.0571,0.0003061470050491464,0.0554,0.0003444474819135844,49453.2167,824.2202783333333,1710.8645448043171,7207.866666666667,15064.415062270475,406.05662,847.666940051406,24.516666666666666,30.491728062312056,0.0032204438026950727,0.0025674305855957467
AIOUSDT,0.16582,0.16483,0.16607,0.00040793139447566675,0.16347,0.00041877626403848334,32555.16835,542.5861391666666,1923.473224437307,1399.4333333333334,4070.966263372139,230.72168716666664,672.6096632092128,16.833333333333332,34.149306599738416,0.0014588393285547034,0.0016559386203249301
AIUSDT,0.02686,0.02704,0.02742,0.0002200978210874829,0.02644,0.00022726797940598052,91315.6592,1521.9276533333332,3020.3531944153447,24303.5,50084.298736721394,657.1260643333334,1362.1296645469615,34.18333333333333,29.029203102537313,0.0030646928152772432,0.0018185507329881866
AIXBTUSDT,0.02429,0.02427,0.02455,0.00016131267669038785,0.02378,0.0001750166255218037,313042.65442,5217.377573666667,4257.404193672581,110489.46666666666,107099.14914100712,2681.3216726666665,2593.044820843647,126.35,78.9474884477232,0.0034774727893250356,0.0020468265673898416
AKEUSDT,0.0003281,0.0003308,0.0003312,2.1674394536666794e-06,0.0003222,2.33413626217399e-06,25453.7778842,424.22963140333337,373.7894298497799,682211.9833333333,801431.3821562629,223.16429491166667,260.4414968982979,17.366666666666667,9.70403841614,0.002334129940409661,0.0011409629425239802
AKTUSDT,0.3591,0.3613,0.3641,0.0024969014696524707,0.3532,0.0025990784981504266,81898.4593,1364.9743216666668,970.2443677616936,1922.9016666666669,1756.684025444364,692.9246026666666,632.2579572649995,31.216666666666665,17.578966309119977,0.0028016215264636524,0.00155055653373811
ALCHUSDT,0.08706,0.08714,0.0876,0.00019817892674462443,0.08647,0.00023405562137728496,96730.03284,1612.167214,3430.4354774735475,9741.183333333332,17133.932007877378,846.6497991666668,1485.313720435714,30.933333333333334,38.45616772584331,0.0018705705473983571,0.0013259699966164738
ALGOUSDT,0.1014,0.1025,0.1032,0.0008080719188220168,0.1002,0.0008526860186068983,1054854.96833,17580.916138833334,12501.08627302033,80503.85166666665,90659.75943350975,8198.6052645,9186.376836070145,100.15,48.353859853292626,0.0026328101469008745,0.0015659548860294987
ALICEUSDT,0.134,0.134,0.135,0.0008635755391767628,0.131,0.0008668404866978255,376470.9709,6274.516181666667,11364.56995215971,24265.881666666664,46478.7364885751,3240.0685866666668,6197.883937556512,22.283333333333335,26.449242510486595,0.008740515581801327,0.003133138435627847
ALLOUSDT,0.0677,0.0677,0.0682,0.0003999434988343801,0.0664,0.00042809194323695796,131695.06279999999,2194.9177133333333,1935.8095122595344,17312.8,20325.19938051352,1167.9724849999998,1366.7202852097855,29.8,18.68997737391054,0.0021981092677291615,0.00172590023995044
ALLUSDT,0.512,0.514,0.5175,0.0028403250390903177,0.5044,0.0033444527813649874,188422.7713,3140.3795216666667,4937.330799811132,3360.7166666666667,5372.019066474445,1716.54695,2737.0321955995837,36.95,34.43117674729386,0.002770053098616492,0.0018833498315326107
ALPINEUSDT,0.445,0.4443,0.4478,0.0016463930786697041,0.439,0.001777304344917691,44069.76421,734.4960701666666,773.911569417005,836.5566666666667,1262.8681691556988,371.46492,559.3050585596126,60.11666666666667,18.81316854584743,0.00220298383672073,0.0011257022777638852
ALTUSDT,0.00939,0.00939,0.00945,5.695076672449947e-05,0.00918,6.250333324445e-05,239010.71963,3983.5119938333332,3495.8483273004317,175145.58333333334,192914.42170877283,1638.3524118333335,1801.1601875609879,52.65,33.3130121673351,0.00285262854880772,0.0018099744934406896
ANIMEUSDT,0.006058,0.005934,0.006157,6.941948756824268e-05,0.005781,5.256189249230746e-05,4233182.610507,70553.04350845,93310.40917136052,6202981.9,8398747.194035614,36860.23459605,50584.63378555256,1148.3333333333333,1260.3139192840974,0.007637841619760828,0.005101474145802848
ANKRUSDT,0.00505,0.005063,0.005104,2.8687341447439833e-05,0.004975,3.124068674780704e-05,86414.106509,1440.2351084833333,1724.7813546957677,125338.16666666667,202291.39174050567,632.4575622666667,1016.9460398228039,42.05,32.04415650476222,0.0024944580417011453,0.001483231363834032
APEUSDT,0.1473,0.1471,0.1489,0.0009225915354277532,0.1447,0.0009759769840761113,582451.0848,9707.51808,14860.936902314406,35142.0,50783.07025417701,5168.67298,7484.095205824915,125.25,80.370882871593,0.0027640882446333544,0.0015907851934536263
API3USDT,0.3352,0.3343,0.3367,0.0019385029753164196,0.3273,0.0022382265730016035,207316.81442,3455.2802403333335,3974.7988618436448,5458.855,6529.942264453278,1815.301056,2161.6079142698977,100.3,80.37165787658304,0.0030111264054068815,0.0016755184548015553
APRUSDT,0.08131,0.08249,0.083,0.0005597623335456756,0.08041,0.0005834869612067641,61493.84635,1024.8974391666666,836.193284451888,6685.15,6907.914634984809,548.7871588333333,568.5403134304602,28.483333333333334,21.652487755191103,0.0024227710380017946,0.0015195524528484729
APTUSDT,1.2538,1.2595,1.273,0.008144568742419802,1.2353,0.008572314357647288,1936372.64815,32272.877469166666,28719.9295023561,14128.515000000001,14539.304191751393,17765.618129666665,18264.525037064897,596.4666666666667,287.46522069172937,0.0029730811649049315,0.0015847650752960965
ARBUSDT,0.1374,0.1369,0.1383,0.0006171192414696617,0.1349,0.0006983515699518679,6546293.5095,109104.891825,225576.1745511529,404001.80666666664,779096.3999888904,55189.19036583333,105990.54445999216,317.46666666666664,377.7163076166397,0.0033843946913530948,0.0017555391651136929
ARCUSDT,0.04264,0.0426,0.04301,0.000226110005225943,0.04198,0.00023047114603034626,224955.5268,3749.2587799999997,3889.5727472180056,40496.11666666667,36668.857017260016,1718.9965505,1552.718717708764,83.76666666666667,56.836776905798835,0.0026393023645965388,0.0014506479523793898
ARIAUSDT,0.06405,0.06461,0.0655,0.0006248357750342942,0.06314,0.0006075683449500164,39811.64464,663.5274106666667,1607.9041850267192,5809.283333333334,18686.086782880593,374.52794166666666,1206.769979580224,21.866666666666667,35.61825216101501,0.0030975972400452832,0.002336725202791414
ARKMUSDT,0.1319,0.1321,0.1335,0.0008362192965152314,0.1297,0.0008742050464718553,445257.9528,7420.965880000001,7883.074200222977,28111.583333333332,34140.11438985317,3706.4886716666665,4485.425406969689,71.08333333333333,48.51359818689548,0.002552066882275303,0.0016261118129307164
ARKUSDT,0.2184,0.22,0.2213,0.0014897047824931789,0.2152,0.0015979957432609747,497761.8871,8296.031451666666,6533.46699051065,20622.533333333333,19955.2667908446,4522.798071666666,4384.810279772521,143.46666666666667,145.43872455047884,0.0032001041384988544,0.0015636409680070955
ARPAUSDT,0.01128,0.01128,0.01139,4.422081213624063e-05,0.01116,4.497174254038552e-05,192677.83317,3211.2972194999998,2427.485624986393,119807.85,131215.79406908495,1351.5879063333334,1478.5799268956719,62.516666666666666,25.65183554186067,0.002496396416260866,0.0012297003394278552
ARUSDT,2.501,2.523,2.539,0.01963246331511196,2.463,0.020738477843776432,438752.0779,7312.534631666666,4774.247477458198,1633.5983333333331,1497.240653696633,4107.178851666667,3767.1693695225654,139.93333333333334,58.4067753983164,0.002947388922016898,0.001638562458758162
ASRUSDT,1.435,1.437,1.444,0.006175653857282863,1.417,0.006573358315809571,51648.6753,860.8112550000001,849.448578465685,210.845,277.6496276555906,302.4370883333333,398.48249069521154,24.283333333333335,19.331270589355224,0.001778511428503076,0.001026933686314683
ASTERUSDT,0.5444,0.5449,0.55,0.0029275643064434957,0.5357,0.0031807413945821763,6438045.722,107300.76203333333,84720.2435405006,105865.6,100845.6222086554,57635.993786666666,54842.01572412794,621.7833333333333,299.812997743292,0.0028952736598925966,0.0016558472117086589
ASTRUSDT,0.008279,0.008518,0.008624,9.63701022629397e-05,0.008261,9.546277412131973e-05,1080910.758819,18015.179313650002,15639.727015098855,1218175.9666666666,1182608.1137321228,10304.958495783332,9984.03810164033,457.85,332.2077573865435,0.004806348825214171,0.002903142380085553
